STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE
,2000,0.19,16,12/08/2015,ABATELENGUAS,,,500,$95.00
,72,18,16,12/08/2015,AGUA DE IRRIGACION 1LT,,,1,$18.00
,2,32.9,16,12/08/2015,ALGODON PLIZADO 300GR,,,1,$32.90
,1400,1.12,16,12/08/2015,BOLSA AUTOSELLANTE 10 X 13.5 CM,,9 X 13.0 CM solo tengo esta medida,200,$223.00
,400,4.52,16,12/08/2015,BOQUILLA DESECHABLE PARA ESPIROMETRO ADULTO,,,100,$452.00
,4,45,16,12/08/2015,CABESTRILLO GRANDE,,,1,$45.00
,4,45,16,12/08/2015,CABESTRILLO MEDIANO,,,1,$45.00
,200,0.13,16,12/08/2015,COTONETES C/100,,,100,$13.00
,100,0.4,16,12/08/2015,CUBREBOCAS,,,150,$60.00
,200,0.21,16,12/08/2015,CURITA 100PZAS TRANSPIEL ANTISEPTIC,,,100,$21.00
,250,3.9,16,12/08/2015,GUANTE ESTERIL NO. 7,,,100,$390.00
,100,3.9,16,12/08/2015,GUANTE ESTERIL NO. 8,,,100,$390.00
,12,2.71,16,12/08/2015,HUATA 5 CM,,,24,$65.00
,200,1.9,16,12/08/2015,JERINGA 10 ML/ AGUJA 22 G X 32 MM,,,100,$190.00
,1800,1.35,16,12/08/2015,JERINGA 3 ML/ AGUJA 22 G X 32 MM,,,100,$135.00
,1800,1.67,16,12/08/2015,JERINGA 5 ML/ AGUJA 22 G X 32 MM,,,100,$166.80
,1,650,16,12/08/2015,MICROCYN SOLUCION GALON,,,1,$650.00
,5,134,16,12/08/2015,MICROCYN SOLUCION ANTISEPTICA 120 ML,,,1,$134.00
,30,22.5,16,12/08/2015,"PILA ""AA""",,,4,$90.00
,15,22.5,16,12/08/2015,"PILA ""AAA""",,,4,$90.00
,20,44,16,12/08/2015,"PILA ""C""",,,2,$88.00
,3,65,16,12/08/2015,PILA  9 VTS,,,1,$65.00
,10,3.15,16,12/08/2015,RASTRILLO DESECHABLE,,,1,$3.15
,3,"1,940.00",16,12/08/2015,ROLLO DE YESO/ LARGO 288 ANCHO 3 PULG ORTHO GLASS,,,1,"$1,940.00"
,3,"2,340.00",16,12/08/2015,ROLLO DE YESO/ LARGO 288 ANCHO 4 PULG ORTHO GLASS,,,1,"$2,340.00"
,10,9.9,16,12/08/2015,TERMOMETRO MERCURIO,,,1,$9.90
,4,29,16,12/08/2015,TUBO ENDOTRAQUEAL/CALIBRE 5,,,1,$29.00
,4,29,16,12/08/2015,TUBO ENDOTRAQUEAL/CALIBRE 6,,,1,$29.00
,4,29,16,12/08/2015,TUBO ENDOTRAQUEAL/CALIBRE 7,,,1,$29.00
,4,29,16,12/08/2015,TUBO ENDOTRAQUEAL/CALIBRE 8,,,1,$29.00
,4,29,16,12/08/2015,TUBO ENDOTRAQUEAL/CALIBRE 9,,,1,$29.00
,240,5,16,12/08/2015,VENDA ELASTICA 10 CM,,,1,$5.00
,240,3.5,16,12/08/2015,VENDA ELASTICA 5 CM,,,1,$3.50
,100,2.35,0,12/08/2015,AGUA INYECTABLE 10 CC,,GENERICO,100,$235.00
,900,10.2,0,12/08/2015,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,GENERICO,1,$10.20
,3,25,0,12/08/2015,BIODEXAN DEXAMETASONA NEOMICINA POLIMICINA FENILEFRINA,,GENERICO,1,$25.00
,400,40,0,12/08/2015,BRUPACIL COMPUESTO COMP. AMPOLLETAS DE 20 MG/25 GR DE 5 ML BROMURO DE BUTILHIOSCINA + METAMIZOL,,GENERICO,1,$40.00
,5,25.9,0,12/08/2015,CALAFFLER GOTAS PEDIATRICAS DE 15MG/1ML FCO 20 ML DICLOFENACO POTASICO,,GENERICO,1,$25.90
,300,0.64,0,12/08/2015,CAPIN SOLUC. INY. 20MG/1ML BROMURO DE BUTILHIOSCINA,,GENERICO,23,$14.61
