,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,
,2,25.73,16,2016-06-08,MANERAL P/RODILLO T/JAULA 9 PULG. BYP MPR9,, $51.46 
,2,29.98,16,2016-06-08,REPUESTO RODILLO 9 MICROFIBRA 3/4 FMF29,, $59.96 
,6,30.29,16,2016-06-08,REPUESTO 10 MM 3/8 PULG. FAN19 MICROFIBRE,, $181.74 
,1,19.59,16,2016-06-08,REPUESTO RODILLO 4 MINI RODILLO BYP FMP2 C/2 PZAS,, $19.59 
,2,366.38,16,2016-06-08,EXTENSION P/RODILLO 1.90 A 5.40 MTS.F.V. CTY EFV54C,, $732.76 
,,,,,,," $1,045.51 "
,,,,,,," $1,212.79 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
