STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,
,1,28.55,16,2016-08-03,BROCHE BACO BR182 MET 8CM,, $28.55 ,MAPLUSA
,5,149.33,16,2016-08-03,CD-R VERBATIM C/50 94691,, $746.65 ,MAPLUSA
,4,14.19,16,2016-08-03,CINTA 3M 550 19X33 TRANSPARENTE,, $56.76 ,MAPLUSA
,1,10.74,16,2016-08-03,CLIP BACO NO. 1 NIQUELADO CON 100 NIQ1,, $10.74 ,MAPLUSA
,5,13.56,16,2016-08-03,ETIQUETAS AUTO-ADHERIBLES MOD 23 19 X 38 C/600,, $67.80 ,MAPLUSA
,7,115.76,16,2016-08-03,ETIQUETA AVERY 5692 C/40 PARA CD,, $810.32 ,MAPLUSA
,1,20.22,16,2016-08-03,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD 400-C,, $20.22 ,MAPLUSA
,2,26.98,16,2016-08-03,PAPEL BARRILITO NEON CON 100 STDO,, $53.96 ,MAPLUSA
,20,46.76,16,2016-08-03,PAPEL SPEED COPY CARTA CON 500 HOJAS,, $935.20 ,MAPLUSA
,4,5.63,16,2016-08-03,RESALTADOR HI-LITER AMARILLO,, $22.52 ,MAPLUSA
,1,104.46,16,2016-08-03,MICA GBC 1209 11.5 X 8 C/100,, $104.46 ,MAPLUSA
,4,21.16,16,2016-08-03,BLOCK MEMOTIP JANEL 3X3 CUBO CAN CON 400,, $84.64 ,MAPLUSA
,24,2.13,16,2016-08-03,BOLIGRAFO BIC M-250-R P.M. ROJO,, $51.12 ,MAPLUSA
,24,2.13,16,2016-08-03,BOLIGRAFO BIC M-250-A PUNTO MEDIANO AZUL,, $51.12 ,MAPLUSA
,24,2.13,16,2016-08-03,BOLIGRAFO BIC M-250-N PUNTO MEDIANO NEGRO,, $51.12 ,MAPLUSA
,1,79.98,16,2016-08-03,PROTECTOR DE HOJAS KINERA CARTA CON 100,, $79.98 ,MAPLUSA
,300,1.65,16,2016-08-03,SOBRE FORTEC ANTE OFI 24X34 B24MG,, $495.00 ,MAPLUSA
,100,1.28,16,2016-08-03,SOBRE FORTEC ANTE CTA 23X30.5 B23MG,, $128.00 ,MAPLUSA
,100,0.38,16,2016-08-03,SOBRE FORTEC BCO OFI T/CORRESPONDENCIA,, $38.00 ,MAPLUSA
,5,27.4,16,2016-08-03,SOBRES FORTEC P/CD BCO C/50,, $137.00 ,MAPLUSA
,1,16.61,16,2016-08-03,TIJERA OFICINA NO. 6 D-6B DELTA,, $16.61 ,MAPLUSA
,,,,,,," $3,989.77 ",SUBTOTAL
,,,,,,," $4,628.13 ",TOTAL
,,,,,,,,
,,,,,,,,
