STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,,
,1,12.98,16,2016-07-29,BLOCK CONTRA RECIBO CON PASANTE CON 25,,cobranza,MAPLUSA, $12.98 ,
,1,31.8,16,2016-07-29,BLOCK MEMOTIP JANEL 3X3 CUBO NEON CON 400,,Piso 2,MAPLUSA, $31.80 ,
,12,2.13,16,2016-07-29,BOLIGRAFO BIC M-250-A PUNTO MEDIANO AZUL,,Piso 2,MAPLUSA, $25.56 ,
,12,2.13,16,2016-07-29,BOLIGRAFO BIC M-250-N PUNTO MEDIANO NEGRO,,Piso 2,MAPLUSA, $25.56 ,
,2,14.19,16,2016-07-29,CINTA 3M 550 19X33 TRANSPARENTE,,Piso 2,MAPLUSA, $28.38 ,
,3,10.28,16,2016-07-29,CUADERNO SCRIBE S7970 PROF 1R ESP 100H,,Piso 2,MAPLUSA, $30.84 ,
,10,2.96,16,2016-07-29,LAPIZ BEROL MIRADO NUM 2 HEXAGONAL MEDIANO,,Piso 2,MAPLUSA, $29.60 ,
,2,63.94,16,2016-07-29,MEMORIA KINGSTON USB 8GB DTSE9H METALICA,,Piso 2,MAPLUSA, $127.88 ,
,10,46.76,16,2016-07-29,PAPEL SPEED COPY CARTA CON 500 HOJAS,,Piso 2,MAPLUSA, $467.60 ,
,1,16.98,16,2016-07-29,PEGAMENTO KOLA LOKA GOTA 2 GMS.,,Piso 2,MAPLUSA, $16.98 ,
,1,22.05,16,2016-07-29,SEPARADOR COLORINDEX CARTA CON 12,,Piso 2,MAPLUSA, $22.05 ,
,100,0.36,16,2016-07-29,SOBRE FORTEC ANTE COIN NOMINA,,recursos humanos,MAPLUSA, $36.00 ,
,100,0.36,16,2016-07-29,SOBRE FORTEC ANTE COIN NOMINA,,Piso 2,MAPLUSA, $36.00 ,
,,,,,,,,,,
,,,,,,,,SUBOTOTAL, $891.23 ,
,,,,,,,,TOTAL," $1,033.83 ",
,,,,,,,,,,
,,,,,,,,,,
