STOCK ID,CANTIDAD, PRECIO ,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,,,,
,1 ,1482.66,16,2016-07-27,JUEGO DE CARTUCHO IMPRESORA EPSON T50 T082,," $1,482.66 ",CARTUCHO,,,
,4 ,1058.57,16,2016-07-27,TONER HP CE505A NEGRO P2035 LASERJET,," $4,234.28 ",CARTUCHO,,,
,9 ,1101.57,16,2016-07-27,TONER HP CE505A NEGRO P2035 LASERJET,," $9,914.13 ",CARTUCHO,,,
,16 ,1395,16,2016-07-27,TONER HP CF280A NEGRO PROM401 LASERJET,," $22,320.00 ",CARTUCHO,,,
,15 ,5.52,16,2016-07-27,BLOCK MEMOTIP JANEL 54 CAN 3X3 CON 100,, $82.80 ,PAPELERIA,,,
,48 ,2.13,16,2016-07-27,BOLIGRAFO BIC M-250-A PUNTO MEDIANO AZUL,, $102.24 ,PAPELERIA,,,
,84 ,2.13,16,2016-07-27,BOLIGRAFO BIC M-250-N PUNTO MEDIANO NEGRO,, $178.92 ,PAPELERIA,,,
,1 ,102.35,16,2016-07-27,CALCULADORA CELICA CA-313 12D ESCR.,, $102.35 ,PAPELERIA,,,
,5 ,14.19,16,2016-07-27,CINTA 3M 550 19X33 TRANSPARENTE,, $70.95 ,PAPELERIA,,,
,6 ,25.19,16,2016-07-27,CINTA TUK 179 48X150 CANELA,, $151.14 ,PAPELERIA,,,
,20 ,10.74,16,2016-07-27,CLIP BACO NO. 1 NIQUELADO CON 100 NIQ1,, $214.80 ,PAPELERIA,,,
,5 ,8.57,16,2016-07-27,CORRECTOR BIC BASE AGUA 20 ML. 506091,, $42.85 ,PAPELERIA,,,
,3 ,75.33,16,2016-07-27,CUADERNO SCRIBE PROF.P.D100H 1R 9450 UNI,, $225.99 ,PAPELERIA,,,
,2 ,10.28,16,2016-07-27,CUADERNO SCRIBE S7970 PROF 1R ESP 100H,, $20.56 ,PAPELERIA,,,
,5 ,30.51,16,2016-07-27,DIARIO ESTRELLA FF 1R 4M 192H ESCOLAR,, $152.55 ,PAPELERIA,,,
,10 ,20.22,16,2016-07-27,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD 400-C,, $202.20 ,PAPELERIA,,,
,10 ,13.29,16,2016-07-27,LIGAS HERCULES NO. 18 100 GMS.,, $132.90 ,PAPELERIA,,,
,12 ,11.22,16,2016-07-27,MARCADOR BACO PERMANENTE NEGRO,, $134.64 ,PAPELERIA,,,
,12 ,9.73,16,2016-07-27,MARCADOR SHARPIE FINO NGO. PERMANENTE,, $116.76 ,PAPELERIA,,,
,2 ,63.94,16,2016-07-27,MEMORIA KINGSTON USB 8GB DTSE9H METALICA,, $127.88 ,PAPELERIA,,,
,5 ,26.98,16,2016-07-27,PAPEL BARRILITO NEON CON 100 STDO,, $134.90 ,PAPELERIA,,,
,16 ,736,16,2016-07-27,PAPEL FASTWAY CON PLECA CARTA 6.8CM C/5000,," $11,776.00 ",PAPELERIA,,,
,30 ,46.76,16,2016-07-27,PAPEL SPEED COPY CARTA CON 500 HOJAS,," $1,402.80 ",PAPELERIA,,,
,2 ,16.98,16,2016-07-27,PEGAMENTO KOLA LOKA GOTA 2 GMS.,, $33.96 ,PAPELERIA,,,
,15 ,54.89,16,2016-07-27,PILA DURACELL 9V CON 1 MN1604B1 CUADRADA,, $823.35 ,PAPELERIA,,,
,5 ,38.49,16,2016-07-27,PILA DURACELL AA C/4 MN1500B4,, $192.45 ,PAPELERIA,,,
,6 ,250,16,2016-07-27,PILA PANASONIC 6V LITHIUM PA1957 CRP2PM1B,," $1,500.00 ",PAPELERIA,,,
,2 ,79.98,16,2016-07-27,PROTECTOR DE HOJAS KINERA CARTA CON 100,, $159.96 ,PAPELERIA,,,
,12 ,5.63,16,2016-07-27,RESALTADOR HI-LITER AMARILLO,, $67.56 ,PAPELERIA,,,
,50 ,12.57,16,2016-07-27,ROLLO TERMICO 80X70 PUNTO DE VENTA sin copia,, $628.50 ,PAPELERIA,,,
,3 ,33.19,16,2016-07-27,SEPARADOR AVERY BCO 11125 A-Z COLOR,, $99.57 ,PAPELERIA,,,
,50 ,1.28,16,2016-07-27,SOBRE FORTEC ANTE CTA 23X30.5 B23MG,, $64.00 ,PAPELERIA,,,
,100 ,0.35,16,2016-07-27,SOBRE FORTEC BCO CTA T/CORRESPONDENCIA,, $35.00 ,PAPELERIA,,,
,20 ,27.4,16,2016-07-27,SOBRES FORTEC P/CD BCO C/50,, $548.00 ,PAPELERIA,,,
,5 ,16.61,16,2016-07-27,TIJERA OFICINA NO. 6 D-6B DELTA,, $83.05 ,PAPELERIA,,,
,5 ,31.87,16,2016-07-27,TINTA COLOP 25 ML NGO P/SELLO,, $159.35 ,PAPELERIA,,,
,,,,,,," $19,767.98 ",SUBTOTAL,,,
,,,,,,," $22,930.86 ",TOTAL,,,
