STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,SUBTOTAL,,
,29,1225.44,16,2016-06-29,TONER HP CF280A NEGRO PROM401 LASERJET,," $35,537.76 ",CARTUCHO,
,12,1058.57,16,2016-06-29,TONER HP CE505A NEGRO P2035 LASERJET,," $12,702.84 ",CARTUCHO,
,18,736,16,2016-06-29,PAPEL FASTWAY C/PLECA A 6.8CM C/5000,," $13,248.00 ",PAPE,
,50,12.57,16,2016-06-29,ROLLO TERMICO 80X70 PUNTO DE VENTA,, $628.50 ,PAPE,
,20,46.76,16,2016-06-29,PAPEL SPEED COPY CARTA C/500,, $935.20 ,PAPE,
,20,27.4,16,2016-06-29,SOBRES FORTEC P/CD BCO C/50,, $548.00 ,PAPE,
,150,2.54,16,2016-06-29,SOBRE  FORTEC  CTA  C/RONDANA  ,, $381.00 ,PAPE,
,1,345.56,16,2016-06-29,ETIQUETA AVERY 5161 2.5X10.2CM C/2000,, $345.56 ,PAPE,
,1,384.9,16,2016-06-29,MICA GBC CTA. 5 MIL. C/100,, $384.90 ,PAPE,
,4,75.33,16,2016-06-29,CUADERNO SCRIBE PROF.P.D100H 1R 9450 UNI,, $301.32 ,PAPE,
,8,30.51,16,2016-06-29,DIARIO ESTRELLA FF 1R 4M 192H ESCOLAR,, $244.08 ,PAPE,
,6,25.19,16,2016-06-29,CINTA TUK 179 48X150 CANELA,, $151.14 ,PAPE,
,2,76.02,16,2016-06-29,LIBRO FLORETE 144H F.F 1R ESTRELLA,, $152.04 ,PAPE,
,10,13.29,16,2016-06-29,LIGAS HERCULES # 18 100 GMS.,, $132.90 ,PAPE,
,10,14.19,16,2016-06-29,CINTA 3M 550 19X33 TRANSPARENTE,, $141.90 ,PAPE,
,60,2.13,16,2016-06-29,BOLIGRAFO BIC M-250-A P.M. AZUL,, $127.80 ,PAPE,
,60,2.13,16,2016-06-29,BOLIGRAFO BIC M-250-N P.M. NEGRO,, $127.80 ,PAPE,
,12,9.73,16,2016-06-29,MARCADOR SHARPIE FINO NGO. PERMANENTE,, $116.76 ,PAPE,
,2,63.94,16,2016-06-29,MEMORIA KINGSTON USB 8GB DTSE9H METALICA,, $127.88 ,PAPE,
,12,11.22,16,2016-06-29,MARCADOR BACO PERMANTE NGO ALUMINIO,, $134.64 ,PAPE,
,5,20.22,16,2016-06-29,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD,, $101.10 ,PAPE,
,10,8.03,16,2016-06-29,CORRECTOR BIC BASE AGUA 20 ML. 506091,, $80.30 ,PAPE,
,2,42.89,16,2016-06-29,BANDERITAS 3M 684-ARR4 CON DESP POST-IT,, $85.78 ,PAPE,
,2,41.56,16,2016-06-29,CARPETA KINERA 2P.O.BCO.9201BL,, $83.12 ,PAPE,
,10,9.44,16,2016-06-29,PEGAMENTO KORES 20G T/LAPIZ,, $94.40 ,PAPE,
,12,5.63,16,2016-06-29,RESALTADOR HI-LITER AMARILLO,, $67.56 ,PAPE,
,12,5.63,16,2016-06-29,RESALTADOR HI-LITER AZUL,, $67.56 ,PAPE,
,12,5.63,16,2016-06-29,RESALTADOR HI-LITER VERDE,, $67.56 ,PAPE,
,1,55.14,16,2016-06-29,ENGRAPADORA PEGASO 204 1/2 TIRA NGO MET.,, $55.14 ,PAPE,
,2,23.86,16,2016-06-29,TIJERA BARRILITO T-6 MANGO PLASTICO,, $47.72 ,PAPE,
,12,2.13,16,2016-06-29,BOLIGRAFO BIC M-250-R P.M. ROJO,, $25.56 ,PAPE,
,12,2.13,16,2016-06-29,BOLIGRAFO BIC M-250-V P.M. VERDE,, $25.56 ,PAPE,
,1,19.46,16,2016-06-29,BLOCK MEMOTIP JANEL 58R RAYA CAN C/100,, $19.46 ,PAPE,
,2,7.27,16,2016-06-29,CORTADOR CORTY GDE PUNTA FLECHA 5025,, $14.54 ,PAPE,
,1,45.98,16,2016-06-29,AROS DE PLASTICO PARA ENCUADERNAR DE  1/2 PULGADA,, $45.98 ,PAPE,
,1,110.31,16,2016-06-29,AROS DE PLASTICO PARA ENCUADERNAR DE 1 PULGADA ,, $110.31 ,PAPE,
,,,,,,," $67,461.67 ",,
,,,,,,," $78,255.54 ",TOTAL,
,,,,,,,"90,180",PPTO,
