STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,16,736,16,30/05/2016,PAPEL FASTWAY C/PLECA A 6.8CM C/5000,,PAPE,$736.00,"$11,776.00"
,20,5.52,16,30/05/2016,Block Janel Memo Tip 54 canario 3X3 con 100 hojas,,PAPE,$5.52,$110.40
,72,2.13,16,30/05/2016,BOLIGRAFO BIC M-250-A P.M. AZUL,,PAPE,$2.13,$153.36
,72,2.13,16,30/05/2016,BOLIGRAFO BIC M-250-N P.M. NEGRO,,PAPE,$2.13,$153.36
,5,28.55,16,30/05/2016,BROCHE BACO BR172 MET 7CM,,PAPE,$28.55,$142.75
,10,28.55,16,30/05/2016,BROCHE BACO BR182 MET 8CM,,PAPE,$28.55,$285.50
,10,41.56,16,30/05/2016,CARPETA KINERA 2P.O.BCO.9201BL,,PAPE,$41.56,$415.60
,10,79.46,16,30/05/2016,CARPETA KINERA 4P.O.BCO.9401BL,,PAPE,$79.46,$794.60
,20,14.19,16,30/05/2016,CINTA 3M 600 19X33 TRANSPARENTE,,PAPE,$14.19,$283.80
,20,10.74,16,30/05/2016,CLIP BACO NO. 1 NIQUELADO CON 100 NIQ1,,PAPE,$10.74,$214.80
,10,8.03,16,30/05/2016,CORRECTOR BIC BASE AGUA 20 ML. 506091,,PAPE,$8.03,$80.30
,2,69.15,16,30/05/2016,CUADERNO SCRIBE PROF.P.D100H 1R 9450 UNI,,PAPE,$69.15,$138.30
,2,55.14,16,30/05/2016,ENGRAPADORA PEGASO 204 1/2 TIRA NGO MET.,,PAPE,$55.14,$110.28
,15,85.98,16,30/05/2016,FOLDER ECONOFILE CARTA CREMA CON 100,,PAPE,$85.98,"$1,289.70"
,1,262.91,16,30/05/2016,FOLDER FLASHFILE CTA C/100 ARCOIRIS 1167,,PAPE,$262.91,$262.91
,4,183.84,16,30/05/2016,FOLDER PENDAFLEX COLG CARTA AZUL CON 25 4152,,PAPE,$183.84,$735.36
,3,206.21,16,30/05/2016,FOLDER PENDAFLEX COLG OF AZUL CON 25 4153,,PAPE,$206.21,$618.63
,10,20.22,16,30/05/2016,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD,,PAPE,$20.22,$202.20
,50,2.76,16,30/05/2016,LAPIZ BEROL MIRADO NUM 2 HEXAGONAL MEDIANO,,PAPE,$2.76,$138.00
,2,69.11,16,30/05/2016,LIBRO FLORETE 144H F.F 1R ESTRELLA,,PAPE,$69.11,$138.22
,10,13.29,16,30/05/2016,LIGAS HERCULES NO. 18 100 GMS.,,PAPE,$13.29,$132.90
,12,11.22,16,30/05/2016,MARCADOR BACO PERMANENTE NEGRO,,PAPE,$11.22,$134.64
,24,9.09,16,30/05/2016,MARCADOR SHARPIE FINO NGO. PERMANENTE,,PAPE,$9.09,$218.16
,3,63.94,16,30/05/2016,MEMORIA KINGSTON USB 8GB DTSE9H METALICA,,PAPE,$63.94,$191.82
,18,46.76,16,30/05/2016,PAPEL SPEED COPY CARTA C/500,,PAPE,$46.76,$841.68
,5,38.49,16,30/05/2016,PILA DURACELL AA C/4 MN1500B4,,PAPE,$38.49,$192.45
,3,79.98,16,30/05/2016,PROTECTOR DE HOJAS KINERA CARTA CON 100,,PAPE,$79.98,$239.94
,48,5.63,16,30/05/2016,RESALTADOR HI-LITER AMARILLO,,PAPE,$5.63,$270.24
,12,5.63,16,30/05/2016,RESALTADOR HI-LITER ROSA,,PAPE,$5.63,$67.56
,12,5.63,16,30/05/2016,RESALTADOR HI-LITER VERDE,,PAPE,$5.63,$67.56
,50,12.57,16,30/05/2016,ROLLO TERMICO 80X70 PUNTO DE VENTA,,PAPE,$12.57,$628.50
,20,27.4,16,30/05/2016,SOBRES FORTEC P/CD BCO C/50,,PAPE,$27.40,$548.00
,1,2765.37,16,30/05/2016,CARTUCHO HP CE390A,,CARTUCHO,"$2,765.37","$2,765.37"
,14,1058.57,16,30/05/2016,TONER HP CE505A NEGRO P2035 LASERJET,,CARTUCHO,"$1,058.57","$14,819.98"
,18,1225.44,16,30/05/2016,TONER HP CF280A NEGRO PROM401 LASERJET,,CARTUCHO,"$1,225.44","$22,057.92"
,,,,,,,,,"$61,220.79"
,,,,,,,,,"$71,016.12"
