STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,
,1,21,16,2015-06-29,AXION LIQUIDO LAVA TRASTES 750 ML,,Limpieza , $21.00 ,SG
,1,18.97,16,2015-06-29,AXION POLVO LAVA TRASTES 900 GRS,,Limpieza , $18.97 ,SG
,8,124,16,2015-06-29,TOALLA 700444 INTER TORK BLANCA C/2000,,Limpieza , $992.00 ,SG
,5,153,16,2015-06-29,HIG. 700527 180 MTS TORK C/12 ROLLOS,,Limpieza , $765.00 ,SG
,8,22,16,2015-06-29,LIMPIADOR MULTIUSOS GENERICO,,Limpieza , $176.00 ,SG
,4,18,16,2015-06-29,CLORO GENERICO,,Limpieza , $72.00 ,SG
,20,4.3,16,2015-06-29,PASTILLA 70GMS WIESE PZA,,Limpieza , $86.00 ,SG
,10,24,16,2015-06-29,AROMATIZANTE WIESE 400 ML,,Limpieza , $240.00 ,SG
,1,140,16,2015-06-29,DETERGENTE EN POLVO 9 KG,,Limpieza , $140.00 ,SG
,6,44,16,2015-06-29,LIMPIADOR BLEM PLEDGE,,Limpieza , $264.00 ,SG
,2,18,16,2015-06-29,ACEITE DE PINO GENERICO,,Limpieza , $36.00 ,SG
,1,216,16,2015-06-29,BOLSA NEGRA 24 X24 C/1000,,Limpieza , $216.00 ,SG
,2,31,16,2015-06-29,TRAPEADOR BLANCO GRANDE DE ALGODON M. AMARILLO/BLANCO ,,Limpieza , $62.00 ,SG
,6,22,16,2015-06-29,BOLSA NEGRA 90 X 120,,Limpieza , $132.00 ,SG
,6,22,16,2015-06-29,BOLSA NEGRA 70 X 90,,Limpieza , $132.00 ,SG
,2,11.5,16,2015-06-29,FIBRA P-94 VERDE SCOTCH BRITE PZA,,Limpieza , $23.00 ,SG
,1,35,16,2015-06-29,JABON PARA MANOS LIQUIDO GENERICO,,Limpieza , $35.00 ,SG
,2,28,16,2015-06-29,GUANTE MARCA ADEX NO. 9 ,,Limpieza , $56.00 ,SG
,2,5,16,2015-06-29,ATOMIZADOR REFORZADO,,Limpieza , $10.00 ,SG
,2,3.2,16,2015-06-29,ENVASE DE LITRO,,Limpieza , $6.40 ,SG
,,,,,,,," $3,483.37 ",
,,,,,,,," $4,040.71 ",TOTAL JULIO
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
