STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,
,1,21,16,2016-05-30,AXION LIQUIDO LAVA TRASTES 750 ML,, $21.00 
,2,18.97,16,2016-05-30,AXION POLVO LAVA TRASTES 900 GRS,, $37.94 
,10,124,16,2016-05-30,TOALLA 700444 INTER TORK BLANCA C/2000,," $1,240.00 "
,5,153,16,2016-05-30,HIG. 700527 180 MTS TORK C/12 ROLLOS,, $765.00 
,8,22,16,2016-05-30,LIMPIADOR MULTIUSOS GENERICO,, $176.00 
,4,18,16,2016-05-30,CLORO GENERICO GAL,, $72.00 
,20,4.3,16,2016-05-30,PASTILLA 70GMS WIESE PZA,, $86.00 
,10,24,16,2016-05-30,AROMATIZANTE WIESE 400 ML AROMA TAHITI,, $240.00 
,1,43,16,2016-05-30,REPUESTO AROMATIZANTE WIESE 191G AROMA MANZANA.CANELA,, $43.00 
,6,44,16,2016-05-30,LIMPIADOR BLEM PLEDGE,, $264.00 
,2,18,16,2016-05-30,ACEITE DE PINO GENERICO GAL,, $36.00 
,2,25.5,16,2016-05-30,TRAPEADOR ALGODON BLANCO MANGO NAGURAL,, $51.00 
,1,75,16,2016-05-30,SARRICIDA GENERICO GAL,, $75.00 
,2,7.7,16,2016-05-30,FRANELA BLANCA METRO,, $15.40 
,6,22,16,2016-05-30,BOLSA NEGRA 90 X 120,, $132.00 
,6,22,16,2016-05-30,BOLSA NEGRA 70 X 90,, $132.00 
,1,18,16,2016-05-30,LIMPIAVIDRIOS GENERICO,, $18.00 
,2,11.5,16,2016-05-30,FIBRA P-94 VERDE SCOTCH BRITE PZA,, $23.00 
,1,35,16,2016-05-30,JABON PARA MANOS LIQUIDO GENERICO,, $35.00 
,,,,,,," $3,462.34 "
,,,,,,," $4,016.31 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,," $4,016.31 "
,,,,,,," $2,871.77 "
,,,,,,," $6,888.08 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,," $5,510.46 "
,,,,,,," $1,377.62 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
