STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,,,
,12,124,16,2016-05-30,TOALLA 700444 INTER TORK BLANCA C/2000,,ARSAIN," $1,488.00 ",SG,,
,2,153,16,2016-05-30,HIG. 700527 180 MTS TORK C/12 ROLLOS JUNIOR,,ARSAIN, $306.00 ,SG,,
,1,145,16,2016-05-30,TOALLA MOCAMBO C/6 160 MTS,,ARSAIN, $145.00 ,SG,,
,1,18,16,2016-05-30,ACEITE DE PINO GENERICO,,ARSAIN, $18.00 ,SG,,
,2,22,16,2016-05-30,LIMPIADOR MULTIUSOS GENERICO,,ARSAIN, $44.00 ,SG,,
,1,18,16,2016-05-30,CLORO GENERICO,,ARSAIN, $18.00 ,SG,,
,1,35,16,2016-05-30,JABON PARA MANOS LIQUIDO GENERICO,,ARSAIN, $35.00 ,SG,,
,7,4.3,16,2016-05-30,PASTILLA 70GMS WIESE PZA,,ARSAIN, $30.10 ,SG,,
,10,24,16,2016-05-30,AROMATIZANTE WIESE 400 ML AROMA HAWAIAN GINGER,,ARSAIN, $240.00 ,SG,,
,1,38,16,2016-05-30,JABON PARA ROPA LIQUIDO GENERICO,,ARSAIN, $38.00 ,SG,,
,1,38,16,2016-05-30,SUAVIZANTE PARA ROPA GENERICO,,ARSAIN, $38.00 ,SG,,
,3,22,16,2016-05-30,BOLSA NEGRA 90 X 120,,ARSAIN, $66.00 ,SG,,
,3,22,16,2016-05-30,BOLSA NEGRA 70 X 90,,ARSAIN, $66.00 ,SG,,
,1,25.5,16,2016-05-30,TRAPEADOR ALGODON BLANCO MANGO NAGURAL,,ARSAIN, $25.50 ,SG,,
,5,8.5,16,2016-05-30,PANUELO KLEENEX C/90,,ARSAIN, $42.50 ,SG,,
,,,,,,,," $2,600.10 ",,,
,,,,,,,," $3,016.12 ",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"-$1,683.88 ",,,
