STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,
,13,124,16,2016-06-30,TOALLA 700444 INTER TORK BLANCA C/2000,,ARSAIN," $1,612.00 ",
,2,153,16,2016-06-30,HIG. 700527 180 MTS TORK C/12 ROLLOS,,ARSAIN, $306.00 ,
,2,18,16,2016-06-30,ACEITE DE PINO GENERICO,,ARSAIN, $36.00 ,
,2,22,16,2016-06-30,LIMPIADOR MULTIUSOS GENERICO,,ARSAIN, $44.00 ,
,2,18,16,2016-06-30,CLORO GENERICO,,ARSAIN, $36.00 ,
,1,35,16,2016-06-30,JABON PARA MANOS LIQUIDO GENERICO,,ARSAIN, $35.00 ,
,1,18,16,2016-06-30,ACIDO MURIATICO GENERICO,,ARSAIN, $18.00 ,
,7,4.3,16,2016-06-30,PASTILLA 70GMS WIESE PZA,,ARSAIN, $30.10 ,
,10,24,16,2016-06-30,AROMATIZANTE WIESE 400 ML AROMA HAWAIAN GINGER,,ARSAIN, $240.00 ,
,1,38,16,2016-06-30,JABON PARA ROPA LIQUIDO GENERICO,,ARSAIN, $38.00 ,
,1,38,16,2016-06-30,SUAVIZANTE PARA ROPA GENERICO,,ARSAIN, $38.00 ,
,3,35,16,2016-06-30,BOLSA 20 X 30 NATURAL C/1000,,ARSAIN, $105.00 ,
,3,22,16,2016-06-30,BOLSA NEGRA 90 X 120,,ARSAIN, $66.00 ,
,3,22,16,2016-06-30,BOLSA NEGRA 70 X 90,,ARSAIN, $66.00 ,
,1,140,16,2016-06-30,DETERGENTE EN POLVO 9 KG,,ARSAIN, $140.00 ,
,1,7.7,16,2016-06-30,FRANELA BLANCA METRO,,ARSAIN, $7.70 ,
,1,44,16,2016-06-30,LIMPIADOR BLEM PLEDGE,,ARSAIN, $44.00 ,
,,,,,,,," $2,861.80 ",
,,,,,,,TOTAL," $3,319.69 ",
