FORMATO DE REQUISICI‡N,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,28-abr-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,ERICK SILVA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,1,265,16,2016-05-05,JABON PARA AUTO PORRON,,OPERADORES,,, $265.00 
,10,57,16,2016-05-05,JABON PARA AUTO GENERICO,,OPERADORES,,, $570.00 
,15,63,16,2016-05-05,ARMOR ALL GENERICO,,OPERADORES,,, $945.00 
,20,18,16,2016-05-05,ACEITE DE PINO GENERICO,,OPERADORES,,, $360.00 
,20,5,16,2016-05-05,ATOMIZADOR REFORZADO,,OPERADORES,,, $100.00 
,10,25,16,2016-05-05,TRAPEADOR ALGODON BLANCO MANGO NAGURAL,,OPERADORES,,, $250.00 
,82,120,16,2016-05-05,TOALLA TI2250 INTER FAPSA BLANCA 8 C/250,,LIMPIEZA,,," $9,840.00 "
,28,153,16,2016-05-05,HIG. 700526 360 MTS TORK C/6 ROLLOS,,LIMPIEZA,,," $4,284.00 "
,22,153,16,2016-05-05,HIG. 700527 180 MTS TORK C/12 ROLLOS,,LIMPIEZA,,," $3,366.00 "
,9,239,16,2016-05-05,BOLSA 24 X 24 VERDE C/1000,,LIMPIEZA,,," $2,151.00 "
,12,35,16,2016-05-05,JABON PARA MANOS LIQUIDO GENERICO,,LIMPIEZA,,, $420.00 
,,,,,,,,,," $22,551.00 "
,,,,,,,,,," $26,159.16 "
