,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,,
,94,124,16,,TOALLA 700444 INTER TORK BLANCA C/2000,,LIMPIEZA,"$11,656.00",,
,24,153,16,,HIG. 700526 360 MTS TORK C/6 ROLLOS,,LIMPIEZA,"$3,672.00",,
,16,153,16,,HIG. 700527 180 MTS TORK C/12 ROLLOS,,LIMPIEZA,"$2,448.00",,
,17,239,16,,BOLSA 24 X 24 VERDE C/1000,,LIMPIEZA,"$4,063.00",,
,22,35,16,,JABON PARA MANOS LIQUIDO GENERICO AROMA DURAZNO,,LIMPIEZA,$770.00,,
,30,43,16,,REPUESTO AROMATIZANTE WIESE 191 G VARIOS AROMAS,,MTTO,"$1,290.00",,
,8,25.5,16,,TRAPEADOR ALGODON BLANCO MANGO NAGURAL,,OPERADORES,$204.00,,
,15,18,16,,ACEITE DE PINO GENERICO,,OPERADORES,$270.00,,
,13,63,16,,ARMOR ALL GENERICO,,OPERADORES,$819.00,,
,1,265,16,,JABON PARA AUTO PORRON,,OPERADORES,$265.00,,
,30,3.2,16,,ENVASE DE LITRO,,OPERADORES,$96.00,,
,,,,,,,,"$25,553.00",,
,,,,,,,TOTAL LIMPIEZA,"$29,641.48",,
