,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,12-oct-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SME ,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
57,160, $-   ,,2016-10-12,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,,,,#≠VALOR!
1767,200, $-   ,,2016-10-12,VALSARTAN 160MG C/30 GRAGEAS,,,,#≠VALOR!
496,150, $-   ,,2016-10-12,LORATADINA 10MG C/20 GRAGEAS,,,,#≠VALOR!
2872,100, $-   ,,2016-10-12,METFORMINA 1GR C/30 TAB.,,,,#≠VALOR!
2953,150, $-   ,,2016-10-12,DEXLANSOPRAZOL 30MG C/14 CAP.,,,,#≠VALOR!
282,100, $-   ,,2016-10-12,CABERGOLINA 0.5MG C/2 TAB.,,,,#≠VALOR!
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,SUBTOTAL,#≠VALOR!
,,,,,,,,IVA,#≠VALOR!
,,,,,,,,TOTAL,#≠VALOR!
,,,,,,,,,
