,,,,,,,OC 198,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA: ,,04-nov-15,,,,,,REQ. NOVIEMBRE,,,,
LUGAR DE ENTREGA: ,,Ar Medica,,,,,,,,,,
PROVEEDOR:,,BENEFIC COMERCIALIZADORA,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,
,240,1.133333333,0,2015-12-11,AMANTADINA (ROSEL),,15,,272,,271.9999999,
,2,55,0,2015-12-11,Alin gotas,,1,,110,,110,
,200,0.85,0,2015-12-11,Ambroxol,,20,,170,,170,
,100,0.6,0,2015-12-11,Aspirina,,10,,60,,60,
,30,3.4,0,2015-12-11,Avapena,,6,,102,,102,
,200,0.85,0,2015-12-11,Benzonatato,,20,,170,,170,
,102,1.133333333,0,2015-12-11,Butilhioscina,,3,,113.3333333,,115.6,
,70,2.5,0,2015-12-11,Butilhioscina,,10,,175,,175,
,120,2.7,0,2015-12-11,Butilhioscina/Metamizol sodico,,10,,324,,324,
,30,1.133333333,0,2015-12-11,Captopril,,30,,34,,33.99999999,
,60,4.2,0,2015-12-11,Clonixinato de lisina,,5,,252,,252,
,80,0.4,0,2015-12-11,Clorfenmina,,20,,8,,32,
,3,229,0,2015-12-11,Cloruro de etilo,,1,,687,,687,
,20,11,0,2015-12-11,Combivent,,10,,220,,220,
,110,8,0,2015-12-11,Dexametaxona,,1,,880,,880,
,90,1.25,0,2015-12-11,Diclofenaco,,2,,112.5,,112.5,
,160,0.65,0,2015-12-11,Diclofenaco,,20,,97.5,,104,
,2,19.5,0,2015-12-11,Diclofenaco GEL,,1,,39,,39,
,51,5,0,2015-12-11,Difenidol,,3,,250,,255,
,30,0.333333333,0,2015-12-11,Difenidol,,30,,10,,9.99999999,
,240,1.875,0,2015-12-11,Garden B,,24,,450,,450,
,100,,,2015-12-11,Electrolitos orales,,25,,75,,0,
,150,5,0,2015-12-11,Ketorolaco,,3,,750,,750,
,18,2.75,0,2015-12-11,KETOROLACO SUBLINGUAL,,6,,41.25,,49.5,
,100,2.5,0,2015-12-11,Ketorolaco ,,10,,250,,250,
,250,0.923076923,0,2015-12-11,Loratadina tabletas,,10,,230.7692308,,230.7692308,
,120,5.5,0,2015-12-11,Metamizol Sodico,,2,,660,,660,
,120,0.425,0,2015-12-11,Metoclopramida,,20,,51,,51,
,60,2.833333333,0,2015-12-11,Metoclopramida,,6,,170,,170,
,252,2.083333333,0,2015-12-11,Naproxen Sodico,,12,,520.8333333,,524.9999999,
,2,35,0,2015-12-11,Neosporin Unguento generico,,1,,35,,70,
,100,1.2,0,2015-12-11,Nimesulide,,10,,120,,120,
,210,0.75,0,2015-12-11,Omeprazol,,14,,150,,157.5,
,300,0.8,0,2015-12-11,Paracetamol,,10,,240,,240,
,80,3.4,0,2015-12-11,Ranitidina,,5,,272,,272,
,100,0.425,0,2015-12-11,Ranitidina,,20,,42.5,,42.5,
,2,25,0,2015-12-11,Oto Eni,,1,,50,,50,
,1,28,0,2015-12-11,Otolene,,1,,28,,28,
,200,2.45,0,2015-12-11,Sedalmerck,,20,,490,,490,
,3,14,0,2015-12-11,Paracetamol,,1,,42,,42,
,2,14,0,2015-12-11,Ibuprofen,,1,,28,,28,
,2,45,16,2015-12-11,Jalea Lubricante,,1,,90,,90,
,,,,,,,,,8754.685897,,8890.369231,
