,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,29-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD, PRECIO ,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1000,1.6,16,29/06/2016,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,,"$1,600.00"
,1,110,16,29/06/2016,ALCOHOL ISOPROPILICO LT,,,,$110.00
,10,84,16,29/06/2016,"ANTIGENO PARATIFICO ""B"" FCO. 5ML",,,,$840.00
,2,802.56,16,29/06/2016,ANTIGENO TENIDO ROSA BENGALA FCO. 5ML,,,,"$1,605.12"
,10,84,16,29/06/2016,"ANTIGENO TIFICO ""H"" FCO. 5ML",,,,$840.00
,4000,0.26,16,29/06/2016,CUBREOBJETOS 22X22,,,,"$1,040.00"
,100,9.42,16,29/06/2016,PLACA D/AGAR MUELLER-HINTON,,,,$942.00
,100,11.81,16,29/06/2016,PLACA D/AGAR SAL-MANITOL,,,,"$1,181.00"
,450,10.92,16,29/06/2016,PLACA DE AGAR EMB,,,,"$4,914.00"
,100,11.92,16,29/06/2016,PLACA DE AGAR GELOSA-CHOCOLATE PAQ. C/10 B.D. CAD. 3 MESES,,,,"$1,192.00"
,30,9.42,16,29/06/2016,PLACA DE AGAR SALMONELLA-SHIGELLA,,,,$282.60
,50,14.98,16,29/06/2016,PLACA DE AGAR SANGRE,,,,$749.00
,280,14.98,16,29/06/2016,PLACA DE AGAR SANGRE CON AZIDA,,,,"$4,194.40"
,40,11.92,16,29/06/2016,PLACA DE AGAR THAYER-MARTIN PAQ. C/10 B.D.,,,,$476.80
,40,11.81,16,29/06/2016,PLACA DE AGAR XLD,,,,$472.40
,10,30.9,16,29/06/2016,PLACA DE BBL CHROMAGAR CANDIDA,,,,$309.00
,200,0.47,16,29/06/2016,PORTA OBJETOS C/50 CORNIN,,,,$94.00
,20,44.46,16,29/06/2016,PRUEBA PARA ROTAVIRUS CAJA CON 20 O 30 PRUEBA RAPIDA,,,,$889.20
,1,1598,16,29/06/2016,REACTIVO ANTIDOPING 5 DROGAS C/ 25,,,,"$1,598.00"
,810,28.44,16,29/06/2016,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,,"$23,036.40"
,1000,3.24,16,29/06/2016,RPR CAJA C/200 PRUEBAS,,,,"$3,240.00"
,5,90,16,29/06/2016,SUEROS ANTI-A  FCO. 10ml   BIO RAD,,,,$450.00
,7,90,16,29/06/2016,SUEROS ANTI-B   FCO. 10ml   BIO RAD,,,,$630.00
,10,195,16,29/06/2016,SUEROS ANTI-D   FCO. 10ml   BIO RAD,,,,"$1,950.00"
,3500,1.6,16,29/06/2016,TUBOS VACUTAINER TAPON LILA 4ML,,,,"$5,600.00"
,1,85,16,29/06/2016,ALCOHOL METILICO   LTR,,,,$85.00
,1,90,16,29/06/2016,COLORANTE LUGOL FCO. 500ML,,,,$90.00
,1,180,16,29/06/2016,COLORANTE CRISTAL DE VIOLETA FCO. 1 lt  CTR,,,,$180.00
,1,130,16,29/06/2016,COLORANTE FUCSINA CARBOLICA FCO. 1 lt  CTR,,,,$130.00
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$58,720.92"
,,,,,,,,,"$9,395.35"
,,,,,,,,,"$68,116.27"
