,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,25,38,16,2016-03-22,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,1,$38.00,$950.00
,24,18,0,2016-03-22,AGUA DE IRRIGACION 1LT,,1,$18.00,$432.00
,2,47,16,2016-03-22,BOLSA ROLLO NO. 1,,1,$47.00,$94.00
,6,18.6,16,2016-03-22,DERMA QRIK FCO. 500ML,,1,$18.60,$111.60
,20,11.65,0,2016-03-22,GLUCOSADO 5% 250ML,,1,$11.65,$233.00
,6,11.65,0,2016-03-22,HARTMAN 250ML,,1,$11.65,$69.90
,10,31,16,2016-03-22,MASCARILLA O2 ADULTO K-22 S/RESERVORIO,,1,$31.00,$310.00
,90,3.833333333,0,2016-03-22,METAMIZOL 2.5GR/5ML AMP.,,3,$11.50,$345.00
,500,2.08,0,2016-03-22,NAPROXENO GI TABS. DE 500MG C/10,,20,$38.00,"$1,040.00"
,28,22.5,16,2016-03-22,PILAS AA,,4,$90.00,$630.00
,12,22.5,16,2016-03-22,PILA AAA,,4,$90.00,$270.00
,72,11.65,0,2016-03-22,CLORURO DE SODIO 0.9% 250ML,,1,$11.65,$838.80
,20,3.15,16,2016-03-22,RASTRILLOS NO ESTERILIZADOS,,1,$3.15,$63.00
,60,39.6,0,2016-03-22,CLOROPIRAMINA 20MG AMP.,,5,$198.00,"$2,376.00"
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
