,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0002,500,0.2,16,2016-04-22,ABATELENGUAS,,, $100.00 ,
MAT0009,8,18,0,2016-04-22,AGUA DE IRRIGACION 1LT,,, $144.00 ,
MAT0042,4,21,16,2016-04-22,ALCOHOL ETILICO DESNAT. 70¯ 1LT,,, $84.00 ,
MAT4499,3,55,16,2016-04-22,RECOLECTOR P/MATERIAL PUNZOCORANTE 4LTS,,, $165.00 ,
MED4463,5,226,0,2016-04-22,CLORURO DE ETILO SPRAY ,,," $1,130.00 ",
MED0140,50,3.6,0,2016-04-22,ELECTROLITOS ORALES SOL. GLUCOSA 20GR,,, $180.00 ,
MAT1188,40,6.5,16,2016-04-22,NORMOGOTERO,,, $260.00 ,
MAT4043,200,1.1,16,2016-04-22,GASA SECA ESTêRIL 10X10,,, $220.00 ,
MAT4025,200,1.07,16,2016-04-22,GUANTES LATEX GRANDES ESTERIL,,, $214.00 ,
MAT1121,100,1.07,16,2016-04-22,GUANTES LATEX MEDIANOS ESTERIL,,, $107.00 ,
MAT4028,5,11.65,0,2016-04-22,HARTMAN 250ML,,, $58.25 ,
MAT4050,7,14.8,0,2016-04-22,HARTMAN 500ML,,, $103.60 ,
MAT0588,100,1.52,16,2016-04-22,LANCETAS P/GLUCOMETRO (ACCU CHECK PERFORMA),,, $152.00 ,
MAT4030,10,34.7,16,2016-04-22,MASCARILLA O2 ADULTO K-22 C/RESERVORIO,,, $347.00 ,
MED1083,40,2.5,0,2016-04-22,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,, $100.00 ,
MED1087,144,2,0,2016-04-22,NAPROXEN 550 MG,,, $288.00 ,
MED4446,7,59.2,0,2016-04-22,TRINITRATO DE GLICERILO 5 MG PARCHES,,, $414.40 ,
MED0276,250,0.43,0,2016-04-22,PARACETAMOL 500MG TAB. C/10,,, $107.50 ,
MAT0667,12,22.5,16,2016-04-22,PILAS AA,,, $270.00 ,
MAT0668,12,22.5,16,2016-04-22,PILA AAA,,, $270.00 ,
PAP0086,4,24.5,16,2016-04-22,PILA AAA OXIMETRO,,, $98.00 ,
MAT0669,12,45,16,2016-04-22,"PILA ""C""",,, $540.00 ,
MAT1174,12,26.5,16,2016-04-22,PROLENE 3-0,,, $318.00 ,
MAT4027,12,26.5,16,2016-04-22,PROLENE 4-0,,, $318.00 ,
MED1038,140,0.38,0,2016-04-22,RANITIDINA 150MG TAB.,,, $53.20 ,
MED0322,200,2.33,0,2016-04-22,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,, $466.00 ,
MAT0210,6,14.8,0,2016-04-22,CLORURO DE SODIO 0.9% 500ML,,, $88.80 ,
MAT0209,6,11.65,0,2016-04-22,CLORURO DE SODIO 0.9% 250ML,,, $69.90 ,
