FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,23-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MAT0002,625,0.18,16,22/11/2016,ABATELENGUAS C/25,,,,$112.50
MAT0044,17,19,16,22/11/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,,$323.00
EQU040,1,285,16,22/11/2016,BAUMANOMETRO CON ESTETOSCOPIO MARCA HERGOM,,,,$285.00
MAT4522,1,338,16,22/11/2016,BOLSA VALBULA MASCARILLA ADULTO,,,,$338.00
MAT4523,1,335,16,22/11/2016,BOLSA VALBULA MASCARILLA PEDIATRICA,,,,$335.00
MAT0571,50,3,16,22/11/2016,JERINGA 20CC SIN AGUJA,,,,$150.00
MAT0633,12,10.83,16,22/11/2016,"MICROPORE 1""",,,,$129.96
MAT0667,8,22.5,16,22/11/2016,PILAS AA,,,,$180.00
MAT0668,20,24,16,22/11/2016,PILA AAA,,,,$480.00
MAT0738,20,6.8,16,22/11/2016,PUNTAS NASALES,,,,$136.00
MAT0894,24,15,16,22/11/2016,SUTURA NYLON 2,,,,$360.00
MAT0895,24,15,16,22/11/2016,SUTURA NYLON 3,,,,$360.00
MAT0896,24,16,16,22/11/2016,SUTURA NYLON 4,,,,$384.00
MAT0897,24,17,16,22/11/2016,SUTURA NYLON 5,,,,$408.00
MAT4087,1,18,16,22/11/2016,BENZALCONIO AZUL AL 12% 500ML,,,, $-   
MAT1192,1,40,16,22/11/2016,GEL ANTIBACTERIAL 1LTO,,,, $-   
MAT0824,2,5,16,22/11/2016,SONDA ASPIRACION NO. 14 C/VALVULA,,,, $-   
MAT0829,2,5.6,16,22/11/2016,SONDA DE ASPIRACION NO. 18,,,, $-   
MAT0831,2,5,16,22/11/2016,SONDA DE ASPIRACION 8 FR PARA SUCCION DE FLEMAS,,,,
