FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,23-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MAT0002,500,0.18,16,22/11/2016,ABATELENGUAS C/25,,,,$90.00
MAT1099,15,17,16,22/11/2016,AGUA INYECTABLE 500 ML,,,,$255.00
MAT0044,5,19,16,22/11/2016,ALCOHOL ETILICO DESNAT. 70› 1LT,,,,$95.00
MAT4087,1,18,16,22/11/2016,BENZALCONIO AZUL AL 12% 500ML,,,,$18.00
EQU057,0,298,16,22/11/2016,ESTUCHE DE DISECCION,,,, $-   
MAT1111,1,49,16,22/11/2016,LAMPARA DE BOLSILLO TIPO LED,,,,$49.00
MAT0668,8,24,16,22/11/2016,PILA AAA,,,,$192.00
MAT0670,5,70,16,22/11/2016,PILAS CR2032 REDONDA 3 VOLTS  ,,,,$350.00
MAT0895,24,15,16,22/11/2016,SUTURA NYLON 3,,,,$360.00
EQU038,2,6.5,16,22/11/2016,ALCOHOL 110 ML,,,,$13.00
MAT0914,50,6.4,16,22/11/2016,TIRAS REACTIVAS ACTIVE  ACCU CHECK ,,,,$320.00
MAT1163,100,5.15,16,22/11/2016,BOQUILLAS PARA ESPIROMETRO,,,,$515.00
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
