,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0304,15,3.16,0,2016-02-29,RANITIDINA AMP 50 MG / caja con 5 ampolletas ,,,,$47.40
MED1041,30,3.833333333,0,2016-02-29,Metamizol caja con 3 ampulas,,,,$115.00
MED1055,50,21.2,0,2016-02-29,CLORO TRIMETON 10MG C/5 AMP=Clorfenamina,,,,"$1,060.00"
MED0043,10,38,0,2016-02-29,AVAPENA AMPS. DE 20 MG DE 2 ML CLOROPIRAMINA C/5,,,,$380.00
MED0119,25,5,0,2016-02-29,DIFENIDOL AMP. 40 MG C/2,,,,$125.00
MAT0002,14,0.2,16,2016-02-29,ABATELENGUAS C/25,,,,$2.80
MAT0631,6,32,16,2016-02-29,Micronebulizador ,,,,$192.00
MAT0654,2,2.7,16,2016-02-29,Electrodos / PAQ CON 100 PIEZAS ,,,,$5.40
MAT1128,5,18.5,0,2016-02-29,AGUA INYECTABLE FRSACOS DE 1LT,,,,$92.50
MAT1159,1,2.38,0,2016-02-29,AGUA INYECTABLE 10 ML / caja  100 ,,,,$2.38
MED1098,10,39.6,0,2016-02-29,Avapena / 20 mg  caja c/ 5 ampulas,,,,$396.00
MAT1015,5,15,16,2016-02-29,Vendas   elasticas de 30 cm ,,,,$75.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
