,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
ENFERMERIAS,,,,,,20-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0002,500,0.2,16,2016-06-24,ABATELENGUAS C/25,,,, $100.00 
MAT0044,2,21,16,2016-06-24,ALCOHOL ETILICO DESNAT. 70¯ 1LT,,,, $42.00 
EQU016,2,280,16,2016-06-24,BAUMANOMETRO ANEROIDE ,,,, $560.00 
MAT4522,2,645,16,2016-06-24,BOLSA VALBULA MASCARILLA PEDIATRICA,,,," $1,290.00 "
MAT0157,20,16.5,16,2016-06-24,CAMPO PLANO ESTERIL 60X60,,,, $330.00 
MAT4051,134,0.911764706,16,2016-06-24,CONOS PARA OTOSCOPIA MEDIANOS,,,, $122.18 
MAT0448,50,7.2,16,2016-06-24,EQUIPO VENOCLISIS CON NORMOGOTERO ,,,, $360.00 
MAT0615,10,34.7,16,2016-06-24,MASCARILLA O2 ADULTO K-22 C/RESERVORIO,,,, $347.00 
MAT0734,2,790,16,2016-06-24,PULSOXIMETRO   ,,,," $1,580.00 "
MAT0745,10,3.15,16,2016-06-24,RASTRILLOS NO ESTERILIZADOS,,,, $31.50 
MAT1149,50,2.5,16,2016-06-24,VASOS PARA MUESTRAS NO ESTêRIL,,,, $125.00 
MAT1174,12,26.5,16,2016-06-24,PROLENE 3-0,,,, $318.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $5,205.68 "
,,,,,,,,," $6,038.58 "
