,,,,FORMATO DE REQUISICI…N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,04-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED4548,120,1.78,0,01/07/2016,L-CARNITINA TABS C/30,,,,$213.60
MED0280,20,11.5,0,01/07/2016,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000U AMP.",,,,$230.00
MED4549,30,2.8,0,01/07/2016,SAL DE UVAS SOBRES C/10 PATENTE,,,,$84.00
MAT4050,50,14.8,0,01/07/2016,HARTMAN 500ML,,,,$740.00
MED0001,20,38,0,01/07/2016,ACETATO DE METILPREDNISOLONA 40MG/2ML,,,,$760.00
MAT0002,2500,0.2,16,01/07/2016,ABATELENGUAS C/25,,,,$500.00
MAT4051,30,0.911764706,16,01/07/2016,CONOS PARA OTOSCOPIA MEDIANOS,,,,$27.35
MAT0075,500,0.576,16,01/07/2016,CURITAS REDONDAS,,,,$288.00
MAT0596,1,210,16,01/07/2016,TORNIQUETES DE LATEX 15 MTS,,,,$210.00
MAT0869,5,5.8,16,01/07/2016,SONDA LEVIN NO. 18,,,,$29.00
MAT0999,36,25.5,16,01/07/2016,VENDA DE YESO 15.2CMS,,,,$918.00
MAT4557,24,5.25,16,01/07/2016,VENDA HUATA 10 CM,,,,$126.00
MAT4558,24,7.29,16,01/07/2016,VENDA HUATA 15 CM,,,,$174.96
MED0038,160,0.6862,0,01/07/2016,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,,,$109.79
MED0336,48,4.83,0,01/07/2016,SYNCOL TAB C/24 PATENTE,,,,$231.84
