,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,17-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
TORREON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0176,50,11.65,0,2016-03-22,GLUCOSADO 5% 250ML,,,, $582.50 
MAT0209,150,11.65,0,2016-03-22,CLORURO DE SODIO 0.9% 250ML,,,," $1,747.50 "
MAT0210,70,14.8,0,2016-03-22,CLORURO DE SODIO 0.9% 500ML,,,," $1,036.00 "
MAT0519,10,17,0,2016-03-22,HARTMAN 1000ML,,,, $170.00 
MAT0532,100,1.25,16,2016-03-22,HOJA DE BISTURI NO. 12,,,, $125.00 
MAT0528,100,1.25,16,2016-03-22,HOJA DE BISTURI NO. 15,,,, $125.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $3,786.00 "
,,,,,,,,," $4,391.76 "
