,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,25,38,16,29/02/2016,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,,,$950.00
,12,18,16,29/02/2016,AGUA DE IRRIGACION 1LT,,,,$216.00
,1200,10.8,16,29/02/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,"$12,960.00"
,2,47,16,29/02/2016,BOLSA ROLLO NO. 1,,,,$94.00
,7,40.28,16,29/02/2016,TRINITRATO DE GLICERILO 10 MG. PARCHES,,,,$281.96
,7,53.5,16,29/02/2016,TRINITRATO DE GLICERILO 5 MG PARCHES,,,,$374.50
,20,41,16,29/02/2016,CELEBREX C/10,,,,$820.00
,10,25,16,29/02/2016,CLORANFENICOL UNGUENTO TUBO 5 MG,,,,$250.00
,200,0.21,16,29/02/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,,$42.00
,6,18.6,16,29/02/2016,DERMA QRIK FCO. 500ML,,,,$111.60
,400,2.9,16,29/02/2016,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,,"$1,160.00"
,30,18,16,29/02/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$540.00
,15,11.65,16,29/02/2016,GLUCOSADO 5% 250ML,,,,$174.75
,4,11.65,16,29/02/2016,HARTMAN 250ML,,,,$46.60
,1200,5.8,16,29/02/2016,KETOROLACO 30MG AMP.,,,,"$6,960.00"
,,31,16,29/02/2016,MASCARILLA O2 ADULTO K-22 S/RESERVORIO,,,,$0.00
,80,3.833333333,16,29/02/2016,METAMIZOL 2.5GR/5ML AMP.,,,,$306.67
,400,1.9,16,29/02/2016,NAPROXENO GI TABS. DE 500MG C/10,,,,$760.00
,20,22.5,16,29/02/2016,PILAS AA,,,,$450.00
,20,22.5,16,29/02/2016,"PILA ""C""",,,,$450.00
,20,29,16,29/02/2016,PISACAINA S/EPINEFRINA F.A. 50 ML LIDOCAINA S/E 2%,,,,$580.00
,1,2000,16,29/02/2016,"SOLOGLASS 4"" ROLLO",,,,"$2,000.00"
,1,56,16,29/02/2016,SANITIZADOR ANTIBACTERIAL PURE&CLEAN 1 LT,,,,$56.00
,72,11.65,16,29/02/2016,CLORURO DE SODIO 0.9% 250ML,,,,$838.80
,10,39,16,29/02/2016,DIPROPIONATO DE BETAMETASONA + FOSFATO 5MG/2MG DE 1ML HYPACK JERINGA PRELLENADA // PATENTE,,,,$390.00
,,3.15,16,29/02/2016,RASTRILLOS NO ESTERILIZADOS,,,,$0.00
,150,9,16,29/02/2016,AVAPENA TABLETAS 25 MG CLOROPIRAMINA,,,,"$1,350.00"
,10,22.5,16,29/02/2016,PILA AAA,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
