,,,,FORMATO DE REQUISICI?N,,,,,,
,,,,(RAZON SOCIAL),,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,DEBE SER PRECIO
,90,10.8,0,29/02/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,$972.00,
,600,0.65,0,29/02/2016,ACIDO ACETILSALICILICO 500 MG,,,,$91.00,
,4,27,0,29/02/2016,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,,$108.00,
,336,1.58,0,29/02/2016,AMOXICILINA 500,,,,$529.20,
,1,115,0,29/02/2016,ANDANTOL GEL 0.75% ISOTIPENDILO,,,,$0.00,
,400,0.76,0,29/02/2016,BENZONATATO PERLAS,,,,$304.00,
,40,36,0,29/02/2016,BETAMETASONA AMP,,,,"$1,440.00",
,98,2.25,0,29/02/2016,BROMURO DE PINAVERIO TAB C/14,,,,$225.00,
,600,0.8,0,29/02/2016,CAFIASPIRINA ADULTO TAB C/100,,,,$444.00,$0.80
,150,2.19,0,29/02/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,$328.50,
,100,1.81,0,29/02/2016,CIPROFLOXACINO 500MG COMP.,,,,$181.20,
,1,33.5,0,29/02/2016,CLORANFENICOL HIDROCORTISONA GOTAS,,,,$99.50,
,450,0.95,0,29/02/2016,CLORFENAMINA 4MG TAB,,,,$219.38,
,800,0.21,16,29/02/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,,$168.00,
,150,2.9,0,29/02/2016,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,,$435.00,
,40,18,0,29/02/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$720.00,
,80,3,0,29/02/2016,FENAZOPIRIDINA/AC NALIDIXICO,,,,"$1,920.00",$3.00
,624,2.13,0,29/02/2016,GRANEODIN B 10 MG 4 BENZOCAINA ,,,,"$1,329.12",
,10,29,0,29/02/2016,HIDROCORTISONA CREMA,,,,$248.00,
,90,1.92,0,29/02/2016,IBUPROFENO 800 MG/TABLETAS c/10,,,,$142.20,$1.92
,600,1.7,16,29/02/2016,LANCETAS P/GLUCOMETRO ACCU CHECK ACTIVE  ,,,,"$1,020.00",
,6,88,0,29/02/2016,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,,$510.00,$88.00
,4,71,16,29/02/2016,LYSOL DESINFECTANTE ,,,,$284.00,
,500,2,0,29/02/2016,"MELOX PLUS TABS MASTICABLES 0 ALUMINIO,MAGNESIO,DIMETICONA CAJA C/50",,,,$960.00,
,15,11.5,0,29/02/2016,MICONAZOL CREMA,,,,$172.50,
,5,84.5,0,29/02/2016,MUPIROCINA  2% UNGUENTO  ,,,,$422.50,
,96,2,0,29/02/2016,NAPROXEN 550 MG,,,,$183.33,
,300,2.08,0,29/02/2016,NAPROXENO GI TABS. DE 500MG C/10,,,,$570.00,
,40,0.85,0,29/02/2016,NEOMELUBRINA 500 MG c/10,,,,$3.40,4 C/10  =  40
,4,27,0,29/02/2016,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,,$108.00,
,150,1.07,0,29/02/2016,NIMESULIDE GI TABS. DE 100 MG. NIMESULIDE,,,,$160.50,
,168,2.62,0,29/02/2016,"ALUMINIO, MAGNESIO, DIMETICONA CAJA C/30 PEPTO BISMOL 24 TABS MASTICABLES",,,,$360.00,$2.62
,4,75,0,29/02/2016,PEPTO BISMOL SUSP C/236 ML,,,,$280.00,
,20,3,0,29/02/2016,PIRIFUR COMPRIMIDO C/20,,,,$6.00,C/20 ($ 3.00 X 20 = $ 60.00) 
,3,17,0,29/02/2016,QUADRIDERM CREMA,,,,$51.00,
,400,2.2,0,29/02/2016,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,,,$880.00,
,10,27,0,29/02/2016,SOLUTINA F GOTAS,,,,$270.00,
,240,4.83,0,29/02/2016,SYNCOL TAB C/24,,,,"$1,159.20",
,200,3.85,0,29/02/2016,TAMEX TABS DE 5.0 MG/0.25 MG LORATADINA + BETAMETASONA ,,,,$770.00,
,100,2.9,0,29/02/2016,TRAMADOL TAB 50 MG,,,,$290.00,
,400,2.6,0,29/02/2016,NEOMICINA 129 MG CAOLIN 280 MG PECTINA MG TABLETAS,,,,"$1,040.00",
,30,7.2,0,29/02/2016,GENTAMICINA 160MG/2ML AMP.,,,,$138.00,
