,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,BENEFIC,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
SAINAR ENFERMERIAS,,,,,,,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
,600,2.4,0,09/03/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,10,$24.00,"$1,440.00",
,400,1.31,0,09/03/2016,MECLIZINA + PIRIDOXINA TABS,,20,$26.25,$524.00,
,270,0.25,0,09/03/2016,CAPTOPRIL 25MG TAB.,,30,$7.50,$67.50,
,204,1.3,0,09/03/2016,DICLOXACILINA 500MG CAP.,,20,$26.00,$265.20,
,900,5,0,09/03/2016,DIFENIDOL 40 MG/2ML SOL. INY.,,2,$10.00,"$4,500.00",
,8,151,0,09/03/2016,NITROFURAL POMADA TUBO (FURACIN),,1,$151.00,"$1,208.00",
,600,0.96,0,09/03/2016,LORATADINA 10MG GRAGEAS,,10,$9.60,$576.00,
,5,234,0,09/03/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO ,,1,$234.00,"$1,170.00",
,300,2.75,0,09/03/2016,BUTILHIOSCINA + METAMIZOL 10MG/250MG,,10,$27.50,$825.00,
,600,0.38,0,09/03/2016,RANITIDINA 150MG TAB.,,20,$7.60,$228.00,
,800,0.84,0,09/03/2016,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,,10,$8.40,$672.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
