,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,19-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,490,0.67,0,2016-09-21,OMEPRAZOL CAPSULA 20 MG C/14,,,, $328.30 
,10,70,0,2016-09-21,TETRACAINA SOL. OFTALMICA GTS. ,,,, $700.00 
,240,3.03,0,2016-09-21,GABAPENTINA 300MG TAB C/16,,,, $727.20 
,240,0.7,0,2016-09-21,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $168.00 
,20,30.5,0,2016-09-21,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,, $610.00 
,10,30.5,0,2016-09-21,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,, $305.00 
,24,15,16,2016-09-21,SUTURA NYLON 2,,,, $360.00 
,60,15,16,2016-09-21,SUTURA NYLON 3,,,, $900.00 
,60,16,16,2016-09-21,SUTURA NYLON 4,,,, $960.00 
,60,17,16,2016-09-21,SUTURA NYLON 5,,,," $1,020.00 "
,12,10.83,16,2016-09-21,"MICROPORE 1""",,,, $129.96 
,1500,0.176,16,2016-09-21,ABATELENGUAS,,,, $264.00 
,10,12.7,0,2016-09-21,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $127.00 
,200,3,0,2016-09-21,AGUA INYECTABLE 10CC,,,, $600.00 
,50,18,0,2016-09-21,AGUA DE IRRIGACION 1LT,,,, $900.00 
,15,22,0,2016-09-21,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,, $330.00 
,15,16.5,0,2016-09-21,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL OTICA FCO DE 10 ML,,,, $247.50 
,400,0.38,0,2016-09-21,RANITIDINA 150MG TAB.C/20,,,, $152.00 
,5,9,0,2016-09-21,PARACETAMOL GTS 30ML ,,,, $45.00 
,1000,5.5,0,2016-09-21,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,," $5,500.00 "
,1500,4.83,0,2016-09-21,KETOROLACO 30MG AMP.,,,," $7,245.00 "
,20,14.8,0,2016-09-21,CLORURO DE SODIO 0.9% 500ML,,,, $296.00 
,20,11.65,0,2016-09-21,HARTMAN 250ML,,,, $233.00 
,60,38,0,2016-09-21,CLOROPIRAMINA 20MG AMP.,,,," $2,280.00 "
,30,6.8,16,2016-09-21,PUNTAS NASALES,,,, $204.00 
,10,14.8,0,2016-09-21,HARTMAN 500ML,,,, $148.00 
,15,11.65,0,2016-09-21,GLUCOSADO 5% 250ML,,,, $174.75 
,6,226,0,2016-09-21,CLORURO DE ETILO SPRAY ,,,," $1,356.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
