,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,21.8,60,,14-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MED0028,5,115,0,2016-09-19,ANDANTOL GEL 0.75% ISOTIPENDILO,,,, $575.00 
MED0034,5,27,0,2016-09-19,SULFADIACINA DE PLATA MICRONIZADA CREMA AL 1% TUBO DE 30GR,,,, $135.00 
MED4469,50,3.24,0,2016-09-19,ATROPINA 1MG/1ML AMP.,,,, $162.00 
MED0064,4,35.9,0,2016-09-19,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,, $143.60 
MED0097,300,21.8,0,2016-09-19,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY C/ 5,,,," $6,540.00 "
MED1085,4,226,0,2016-09-19,CLORURO DE ETILO SPRAY ,,,, $904.00 
MED0116,80,5.5,0,2016-09-19,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,, $440.00 
MED1032,198,4.83,0,2016-09-19,KETOROLACO 30MG AMP.,,,, $956.34 
MED0219,5,83.5,0,2016-09-19,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,, $417.50 
MED1011,5,88,0,2016-09-19,LIDOCAINA 10% SPRAY,,,, $440.00 
MED0223,84,0.7,0,2016-09-19,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $58.80 
MED4445,5,16.68,0,2016-09-19,MECLIZINA + PIRIDOXINA SOL. FCO. GOTAS,,,, $83.40 
MED0239,60,2.5,0,2016-09-19,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,,, $150.00 
MED1033,4,12.7,0,2016-09-19,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $50.80 
MED1063,10,39.9,0,2016-09-19,NORFENEFRINA SO. GOTAS FCO.10 MG 24 ML,,,, $399.00 
MED0285,50,4.1,0,2016-09-19,ADRENALINA 0.001G/1ML AMP. ,,,, $205.00 
MED0286,4,30.5,0,2016-09-19,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,, $122.00 
MED0287,4,30.5,0,2016-09-19,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,, $122.00 
MED0321,10,32.5,0,2016-09-19,SALBUTAMOL 100MCG SPRAY,,,, $325.00 
MAT0207,10,9.65,0,2016-09-19,SOLUCION FISIOLOGICA 100 ML,,,, $96.50 
MAT0209,10,11.65,0,2016-09-19,CLORURO DE SODIO 0.9% 250ML,,,, $116.50 
MAT0210,20,14.8,0,2016-09-19,CLORURO DE SODIO 0.9% 500ML,,,, $296.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $12,738.44 "
,,,,,,,,,
