,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,16-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MED1050,200,0.76,0,2016-08-22,BENZONATATO PERLAS,,,, $152.00 
MED0116,80,5.5,0,2016-08-22,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,, $440.00 
MED1032,150,4.83,0,2016-08-22,KETOROLACO 30MG AMP.,,,, $724.50 
MED0223,180,0.7,0,2016-08-22,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $126.00 
MED0239,60,2.5,0,2016-08-22,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,,, $150.00 
MED0266,140,0.67,0,2016-08-22,OMEPRAZOL CAPSULA 20 MG C/14,,,, $93.80 
MED0286,4,30.5,0,2016-08-22,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,, $122.00 
MED0287,4,30.5,0,2016-08-22,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,, $122.00 
MED1038,50,0.38,0,2016-08-22,RANITIDINA 150MG TAB.,,,, $19.00 
MAT0207,20,9.65,0,2016-08-22,SOLUCION FISIOLOGICA 100 ML,,,, $193.00 
MAT0208,20,17,0,2016-08-22,CLORURO DE SODIO 0.9% 1000ML,,,, $340.00 
MAT0209,20,11.65,0,2016-08-22,CLORURO DE SODIO 0.9% 250ML,,,, $233.00 
MAT0210,20,14.8,0,2016-08-22,CLORURO DE SODIO 0.9% 500ML,,,, $296.00 
MED4544,40,0.24,0,2016-08-22,ENALAPRIL 10 MG C/30 TABS,,,, $9.60 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
