,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,ENFERMERIA,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,24-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,200,5.5,0,2016-08-18,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,," $1,100.00 "
,10,38.5,0,2016-08-18,HIDROCORTISONA 100MG AMP. ,,,, $385.00 
,200,4.83,0,2016-08-18,KETOROLACO 30MG AMP.,,,, $966.00 
,150,0.693333333,0,2016-08-18,NAPROXENO 250MG TAB.,,,, $104.00 
,600,0.38,0,2016-08-18,RANITIDINA 150MG TAB.C/20,,,, $228.00 
,17,70,0,2016-08-18,TETRACAINA SOL. OFTALMICA GTS. ,,,," $1,190.00 "
,100,4.7,0,2016-08-18,AMOXICLINA  C/ ACIDO  CLAVULANICO  875MG  TAB  ,,,, $470.00 
,10,226,0,2016-08-18,CLORURO DE ETILO SPRAY ,,,," $2,260.00 "
,400,0.6862,0,2016-08-18,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,,, $274.48 
,600,0.74,0,2016-08-18,CAFIASPIRINA ADULTO TAB C/100,,,, $444.00 
,400,1.89,0,2016-08-18,NAPROXENO GI TABS. DE 500MG C/10,,,, $756.00 
,500,2.69,0,2016-08-18,METOCARBAMOL/ MELOXICAM TAB C/10,,,," $1,345.00 "
,15,11,0,2016-08-18,AMPICILINA 500 GR  C/ 1 INY,,,, $165.00 
,20,115,0,2016-08-18,ANDANTOL GEL 0.75% ISOTIPENDILO,,,," $2,300.00 "
,25,29,0,2016-08-18,BETAMETASONA AMP,,,, $725.00 
,15,333.5,0,2016-08-18,NITROFURAL POMADA TARRO,,,," $5,002.50 "
,200,2.42,0,2016-08-18,SULINDACO TAB 200 MG C/20,,,, $484.00 
,120,10.36,0,2016-08-18,NAPROXENO  / CARISOPRODOL 30 TAB,,,," $1,243.20 "
,70,31,0,2016-08-18,CEFTRIAXONA SOL.INY 1 GR I.V,,,," $2,170.00 "
,200,2.95,16,2016-08-18,GUANTES CAUCHO NO. 7 USO CIRUGIA,,,, $590.00 
,200,2.95,16,2016-08-18,GUANTES CAUCHO NO. 8 USO CIRUGIA,,,, $590.00 
,500,0.13,16,2016-08-18,COTONETES C/100,,,, $65.00 
,600,0.6,16,2016-08-18,LANCETAS P/GLUCOMETRO (ACCU CHECK PERFORMA),,,, $360.00 
,300,2.5,0,2016-08-18,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,,, $750.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
