FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,50,0.75,0,01/12/2015,KETOROLACO 10mg tab c/10,,,,
,25,0.75,0,01/12/2015,OMEPRAZOL CAJA C/14 TABLETAS,,,,
,100,0.51,0,01/12/2015,AMBROXOL c/20,,,,
,48,2.6,0,01/12/2015,TEDRA neomicina caolin y pectina c/20,,,,
,50,1,0,01/12/2015,IBUPROFENO 400 MG CAJA C/10,,,,
,60,1.466666667,0,01/12/2015,ROSEL c/15,,,,
,60,0.38,0,01/12/2015,METROCLOPRAMIDA CAJA C/20 TABLETAS,,,,
,20,2.4,0,01/12/2015,BUTHILHISINA c/10,,,,
,2,10,16,01/12/2015,AGUA OXIGENADA,,,,
,2,17.8,0,01/12/2015,GEL DICLOFENACO FENAGEL,,,,
,50,1.208333333,0,01/12/2015,NAPROXEN/ PARACETAMOL CAJA C/12,,,,
,1,9.9,16,01/12/2015,TERMOMETRO,,,,
,60,0.63,0,01/12/2015,TRIBEDOCE SIMPLE TAB CAJA C/30,,,,
,3,5,0,01/12/2015,BUTILHIOSCINA 20MG AMP c/3,,,,
,3,5,0,01/12/2015,KETOROLACO 30MG AMP c/3,,,,
,3,7.4,0,01/12/2015,BONADOXINA 25 MG AMP c/5,,,,
,3,10.8,0,01/12/2015,DEXAMETASONA AMP,,,,
,300,0.21,16,01/12/2015,CURITAS 100 PZ ,,,,
,1,85,0,01/12/2015,LAV OFTENO,,,,
