FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,1,47,0,26/11/2015,NORFENEFRINA SO. GOTAS FCO.,,,,
,2,226.8,0,26/11/2015,CLORURO DE ETILO SPRAY,,,,
,200,0.54,16,26/11/2015,GASA DE 10 CM X 7.5 CM + IVA,,,,
,1,43,0,26/11/2015,IODEX NEG POM 60 GR,,,,
,5,12,0,26/11/2015,"BENCILPENICILINA BENZANITICA 1,200,000U AMP.",,,,
,90,1.15,0,26/11/2015,COMPLEGO B GI TAB C/30,,,,
,60,2.15,0,26/11/2015,ESTOLATO DE ERITROMICINA 500MG TAB.,,,,
,30,1.58,0,26/11/2015,IBUPROFENO 800 MG C/10,,,,
,90,1.6,0,26/11/2015,NAPROXENO 500  MG C/45,,,,
,40,0.625,0,26/11/2015,PIROXICAM 20 MG C/20 TAB,,,,
,1,19.5,0,26/11/2015,RASPINSONS UNGšENTO TUBO 28 GRS,,,,
,56,1.328571429,0,26/11/2015,TRIMETROPRIMA + SULFAMETOXAZOL 160MG/800MG,,,,
,40,1.366666667,0,26/11/2015,SENOSIDOS A Y B C/ 20 TAB,,,,
,60,1.183333333,0,26/11/2015,METOCARBAMOL / PARACETAMOL CARBAFEN C/30,,,,
,48,3.708333333,0,26/11/2015,ESPAVEN CAJA C/24 TAB,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
