,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,05-may-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,4500,2.64,16,04/05/2016,TUBOS VACUTAINER TAPON DORADO 6ML 13X100 BD,,,"$11,880.00"
,1500,2.2,16,04/05/2016,AGUJAS VACUTAINER 22GX1 1/2 (NEGRA),,,"$3,300.00"
,1000,1.5,16,04/05/2016,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,"$1,500.00"
,500,2.19,16,04/05/2016,TUBOS VACUTAINER TAPON AZUL 2.7ML,,,"$1,095.00"
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,, $-   
,,,,,,,,"$20,475.00"
,,,,,,,,"$3,276.00"
,,,,,,,,"$23,751.00"
