,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,29-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,4000,0.625,16,2016-11-29,GUANTES LATEX MEDIANOS NO ESTERIL,,,," $2,500.00 "
,75,8.5,16,2016-11-29,TERMOMETRO ORAL CLINICO MERCURIAL,,,, $637.50 
,360,2.3,16,2016-11-29,VENDA ELASTICA 5CMX4.5MTS,,,, $828.00 
,4,1221,16,2016-11-29,"SOLOGLASS 2"" ROLLO",,,," $4,884.00 "
,5,1750,16,2016-11-29,"SOLOGLASS 3"" ROLLO",,,," $8,750.00 "
,4,2100,16,2016-11-29,"SOLOGLASS 4"" ROLLO",,,," $8,400.00 "
,4,2551,16,2016-11-29,"SOLOGLASS 5"" ROLLO",,,," $10,204.00 "
,4,190,16,2016-11-29,ISODINE ESPUMA GALON,,,, $760.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
