FORMATO DE REQUISICI‡N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,200,2.35,0,2016-01-26,AGUA INYECTABLE 10CC,,,,$470.00
,300,0.67,16,2016-01-26,AGUJA DESECHABLE 25X16MM,,,,$201.00
,100,0.67,16,2016-01-26,AGUJA DESECHABLE 22X32MM,,,,$67.00
,6,18.02,16,2016-01-26,DERMA QRIK FCO. 500ML,,,,$108.12
,4000,0.44725,16,2016-01-26,GASA S/ESTERILIZAR BOLSA 10X10,,,,"$1,789.00"
,200,4.5,16,2016-01-26,GUANTES CAUCHO NO. 7 USO CIRUGIA,,,,$900.00
,100,4.5,16,2016-01-26,GUANTES CAUCHO NO. 6.5 USO CIRUGIA,,,,$450.00
,100,4.5,16,2016-01-26,GUANTES CAUCHO NO. 8 USO CIRUGIA,,,,$450.00
,100,3.58,16,2016-01-26,JERINGA 20CC SIN AGUJA,,,,$358.00
,1200,1.4,16,2016-01-26,JERINGA 3ML (22X32),,,,"$1,680.00"
,1200,1.5,16,2016-01-26,JERINGA 5CC (22X32),,,,"$1,800.00"
,1,2174,16,2016-01-26,"SOLOGLASS 4"" ROLLO",,,,"$2,174.00"
,24,17.04666667,16,2016-01-26,SUTURA NYLON 5,,,,$409.12
,24,19,16,2016-01-26,"TELA ADHESIVA 1""X5MTS",,,,$456.00
,10,8.5,16,2016-01-26,TERMOMETRO ORAL CLINICO MERCURIAL,,,,$85.00
,200,0,16,2016-01-26,AGUJA DESECHABLE 20X32MM,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,,,00/00/0000,,,,,$0.00
,,0,0,00/00/0000,,,0,SUBTOTAL,"$11,397.24"
,,0,0,00/00/0000,,,0,TOTAL,"$13,220.80"
