,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,200,2.45,16,29/02/2016,AGUA INYECTABLE 10CC,,,,$490.00
,200,0.67,16,29/02/2016,AGUJA DESECHABLE 20X32MM,,,,$134.00
,200,0.67,16,29/02/2016,AGUJA DESECHABLE 23X25MM,,,,$134.00
,300,0.67,16,29/02/2016,AGUJA DESECHABLE 25X16MM,,,,$201.00
,100,0.67,16,29/02/2016,AGUJA DESECHABLE 22X32MM,,,,$67.00
,200,4.5,16,29/02/2016,GUANTES CAUCHO NO. 7 USO CIRUGIA,,,,$900.00
,100,4.5,16,29/02/2016,GUANTES CAUCHO NO. 6.5 USO CIRUGIA,,,,$450.00
,100,4.5,16,29/02/2016,GUANTES CAUCHO NO. 8 USO CIRUGIA,,,,$450.00
,10,25,16,29/02/2016,MASCARILLA O2 ADULTO K-22 C/RESERVORIO,,,,$250.00
,10,25,16,29/02/2016,MASCARILLA O2 ADULTO K-22 C/RESERVORIO,,,,$250.00
,20,8.5,16,29/02/2016,TERMOMETRO ORAL CLINICO MERCURIAL,,,,$170.00
,1,177,16,29/02/2016,MALLA TUBULAR NO. 2 ROLLO,,,,$177.00
,2,8.5,16,29/02/2016,TERMOMETRO ORAL CLINICO MERCURIAL,,,,$17.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
