,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DESTINO,,,,,,FECHA:,,,
MUNTERS,,,,,,07-oct-16,,,
ALMACEN,,,,,,ELABORADO POR:,,,
GENERAL,,,,,,ALEJANDRO AGUIRRE,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
12953,1, $10.50 ,BENEFIC,2016-10-07,APOSITO ESTERIL PIEZA,,,, $10.50 
12047,1, $61.00 ,Ubold,2016-10-07,ANTIBENZIL SOL. JABON,,,, $61.00 
10026,15, $6.00 ,Ubold,2016-10-07,AMIKACINA 500MG/2ML AMP.,,,, $90.00 
10808,3, $281.00 ,Ubold,2016-10-07,TETANOGAMA JER PRELL 1 ML ,,,, $843.00 
,2,11.3,16,2016-10-07,CANULA DE GUEDEL NO.4 ADULTO,,,, $22.60 
,2,11.3,16,2016-10-07,CANULA DE GUEDEL NO.5 ADULTO,,,, $22.60 
12492,2, $21.50 ,BENEFIC,2016-10-07,LUBRIZAL JALEA TUBO 135 GR,,,, $43.00 
12852,5, $42.00 ,Ubold,2016-10-07,VENDA ELASTICA TENSOLASTIC PLUS 10CMX5M,,,, $210.00 
12854,5, $28.00 ,Ubold,2016-10-07,VENDA ELASTICA TENSOLASTIC PLUS 5CMX5M,,,, $140.00 
,1,550,16,2016-10-07,AMBU SPUR ADULTO C/RESERVORIO,,,, $550.00 
,2,15.5,16,2016-10-07,SONDA FOLEY NO. 16,,,, $31.00 
,2,15.5,16,2016-10-07,SONDA FOLEY NO. 18,,,, $31.00 
12989,1," $2,465.00 ",INVERMEDIC,2016-10-07,TANQUE DE OXIGENO C/ CARRITO,,,," $2,465.00 "
12097,2, $13.00 ,Ubold,2016-10-07,BOLSA RECOLECTORA ORINA CAMA,,,, $26.00 
13284,2, $36.00 ,Ubold,2016-10-07,LENTES DE SEGURIDAD ,,,, $72.00 
18013,1, $770.00 ,Ubold,2016-10-07,PULSOXIMETRO   ,,,, $770.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,SUBTOTAL," $5,387.70 "
,,,,,,,,IVA, $862.03 
,,,,,,,,TOTAL," $6,249.73 "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
