FORMATO DE REQUISICI?N,,,,,,,,,,,,
,,,,,,,,,,,,
SME ,,,,,,,,,,,,
SME-100521K58,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,29-dic,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,MARCA,MODELO,DESCRIPCION,PRECIO REFERENCIA
,1,6568.81,16,29/12/2015,AGENTE ESTERILIZANTE H202 20ML,,,,,,,
,1,1778.94,16,29/12/2015,ROLLO DE TYVECK ESTERIROL 250 (C050ESTRIL250) PLASMA BLANCO,,,,,,,
,2,1600.69,16,29/12/2015,ROLLOS DE TYVEK ESTERIROLL 200 (C050ESTRIL 200) PLASMA BLANCO,,,,,,,
,3,759.93,16,29/12/2015,ROLLO DE TYVECK ESTERIROLL 100 (C050ESTRIL 100) PLASMA BLANCO,,,,,,,
