,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,22-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,1,482,16,2016-09-22,REACTIVO GLUCOSA (GLUC2) COBAS C111  4 X 100 (ROCHE),,,, $482.00 
,1,397,16,2016-09-22,REACTIVO CREATININA (CREJ2) COBAS C 111 4 X 100 (ROCHE),,,, $397.00 
,3,643,16,2016-09-22,REACTIVO ACIDO URICO (UA2) COBAS C 111 4 X 100 ( ROCHE ),,,," $1,929.00 "
,2,643,16,2016-09-22,REACTIVO COLESTEROL  ( CHOL2) COBAS C 111 4 X 100 ( ROCHE ),,,," $1,286.00 "
,1,120,16,2016-09-22,AGUA DESIONIZADA,,,, $120.00 
,1,2658,16,2016-09-22,CELLPACK,,,," $2,658.00 "
,1,2184,16,2016-09-22,MICRO CUVETTE SEGMENT COBAS C 111 ( ROCHE ),,,," $2,184.00 "
,1,111.9,16,2016-09-22,THERMO-PRINTER PAPER FOR URISYS 1800 COBAS  c111,,,, $111.90 
,1,4376,16,2016-09-22,SULFOLYSER,,,," $4,376.00 "
,4,642.75,16,2016-09-22,REACTIVO UREA (UREAL) COBAS C111 4 X 100,,,," $2,571.00 "
,1,909,16,2016-09-22,CLEANER PARA COBAS C 111,,,, $909.00 
,1,2657.46,16,2016-09-22,CELLPACK,,,," $2,657.46 "
,2,303.45,16,2016-09-22,ISE DESPROTEINIZER,,,, $606.90 
,1,482.04,16,2016-09-22,REACTIVO GLUCOSA (GLUC2) COBAS C111 4 X 100,,,, $482.04 
,2,120,16,2016-09-22,AGUA DESIONIZADA,,,, $240.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
