,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,04-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTUROH HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2,1740,16,04/04/2016,PAPEL CREPADO GRADO MEDICO 120X120,,,,
,200,1.77,16,04/04/2016,BOLSAS PARA ESTERILIZAR INSTRUMENTAL (20X33CM),,,,
,400,0.76,16,04/04/2016,BOLSAS PARA ESTERILIZAR INSTRUMENTAL 10X23CM,,,,
,400,0.63,16,04/04/2016,BOLSAS PARA ESTERILIZAR INSTRUMENTAL (7.5X28CM),,,,
,200,1.05,16,04/04/2016,BOLSAS PARA ESTERILIZAR INSTRUMENTAL (13.5X25.5CM),,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
