,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,23-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,2,5000,16,2016-11-23,BAUMANOMETRO ANEROIDE DE PARED MARCA WELCH ALLYN,,,," $10,000.00 "
,2,2557,16,2016-11-23,ESTETOSCOPIO PEDIATRICO MARCA WELCH ALLYN,,,," $5,114.00 "
,1,2533,16,2016-11-23,ESTETOSCOPIO ADULTO MARCA WELCH ALLYN,,,," $2,533.00 "
,1,662,16,2016-11-23,BRAZALETE 8 ,,,, $662.00 
,1,662,16,2016-11-23,BRAZALETE 9,,,, $662.00 
,4,39805,16,2016-11-23,MONITOR MULTIPARAMETROS P/PACIENTE MINDRAY,,,," $159,220.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
