,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,18-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,5,1202,16,18/04/2016,"DYNAGLASS PRELUDE FERULIZACION ROLLO 3"".",,,"$6,010.00"
,5,2217,16,18/04/2016,"DYNAGLASS PRELUDE FERULIZACION ROLLO 4"".",,,"$11,085.00"
,3,2717,16,18/04/2016,"DYNAGLASS PRELUDE FERULIZACION ROLLO 5"".",,,"$8,151.00"
,1,1982,16,18/04/2016,DRENAJE DE BLAKE NUM. 15 Y 19,,,"$1,982.00"
,20,594,16,18/04/2016,EQUIPO ESTERIL CIRUGIA UNIVERSAL AR.,,,
,20,212.5,16,18/04/2016,EQUIPO ESTERIL PARA CIRUGIA MENOR,,,
,800,6.88,16,18/04/2016,EQUIPO PARA VENOCLISIS NORMOGOTERO EST. DESECH.,,,
,300,8.75,16,18/04/2016,ESPEJO VAGINAL DESECH.,,,
,814,287,16,18/04/2016,EXTRACTO ALERGENICO (MCA. ALLERSTAND),,,
,1,650,16,18/04/2016,EXTRAN ALCALINO 5 LTOS.,,,
,2,5450,16,18/04/2016,ELECSYS ESTRADIOL II CALSET (LYO) Y TSH,,,
,4,3477,16,18/04/2016,EMPTY 150 STRIPS OF 4 CUVETTES,,,
,3,12665,16,18/04/2016,E-CHECK (XE) 4X4.5MLX3 LOW/NORM/HIGH,,,
,1,780,16,18/04/2016,FACTOR REUMATOIDE 100 PBAS.,,,
,25,26.1,16,18/04/2016,FLEBOTEK QCO.NB VENOCLISIS,,,
,40,11.25,16,18/04/2016,FUNDA P. MESA MAYO ESTERIL,,,
,4,412.5,16,18/04/2016,GASA ROLLO 20X12 91X91,,,
,147,83,16,18/04/2016,GASA SECA 7.5X5CM.,,,
,3,472.5,16,18/04/2016,GEL ULTRA PHONIC 4 LTS.,,,
,40,94.5,16,18/04/2016,GEL ANTIBACTERIAL DE 1 L.,,,
,60,62.5,16,18/04/2016,GLUCOX 250 ML. 75 GRS. GLUCOSA),,,
,2,62.5,16,18/04/2016,"GORRO BLANCO REDONDO 21""",,,
,8,307,16,18/04/2016,"GUANTE P/CIRUJANO ESTERIL 6.5, 7 Y 7.5",,,
,850,7.12,16,18/04/2016,GUANTE CIRUJANO LATEX EST.,,,
,150,99,16,18/04/2016,GUANTE NO ESTERIL CH. ME. Y GD. C/100 PZAS.,,,
,1,108,16,18/04/2016,GUATA QCA 10X5 C/24,,,$108.00
,4,200,16,18/04/2016,HUATA SOFFBAN 7.5CM X 2.7MTS C/12,,,$800.00
,5,14477,16,18/04/2016,"HBA1C TQ 3.150 TESTS, COBAS C 501",,,"$72,385.00"
,3,2809,16,18/04/2016,"ISE STANDARD LOW, MED, HIGH",,,"$8,427.00"
,4,245,16,18/04/2016,ISODINE ESPUMA GALON,,,$980.00
