,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,28-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,16,119,16,15/08/2016,ABATELENGUAS C/500 PZAS.,,,,"$1,904.00"
,2,1125,16,15/08/2016,APOSITO TEGADERM 10X12 C/50,,,,"$2,250.00"
,5,87.5,16,15/08/2016,AGUJA DESECHABLE 21X32 MM. C/100 PZAS,,,,$437.50
,3,87.5,16,15/08/2016,AGUJA DESECHABLE 22X32 MM. C/100 PZAS.,,,,$262.50
,5,87.5,16,15/08/2016,AGUJA DESECHABLE 25X16 MM C/100 PZAS,,,,$437.50
,60,31.5,16,15/08/2016,ALCOHOL ROJO 96 GR. LITRO CANITAS,,,,"$1,890.00"
,4,2925,16,15/08/2016,ALKACIDE ESTERELIZANTE 1 LITRO,,,,"$11,700.00"
,1,865,16,15/08/2016,ANTIESTREPTOLISINA 100 PBAS.,,,,$865.00
,2,1750,16,15/08/2016,APLICADORES CITRATO DE PLATA C/100,,,,"$3,500.00"
,4,5279,16,15/08/2016,ACTIVATOR FOR COBRAS INTEGRA,,,,"$21,116.00"
,6,7385,16,15/08/2016,AVL HB CALIBRATOR 5XIML,,,,"$44,310.00"
,80,81,16,15/08/2016,BATA MEDICO-PACIENTE SMS AZUL C/10,,,,"$6,480.00"
,20,32,16,15/08/2016,BATA PARA CIRUJANO,,,,$640.00
,4,83,16,15/08/2016,BRAZALETE IDENTIFICACION,,,,$332.00
,14,16.25,16,15/08/2016,BOLSA RECOLECTORA DE ORINA 2 LTS. ADULTO,,,,$227.50
,100,2.18,16,15/08/2016,BOLSA RECOLECTORA DE ORINA NINA,,,,$218.00
,5,2237,16,15/08/2016,"COBAS INTEGRA UA2, TRIG 250",,,,"$11,185.00"
,6,6328,16,15/08/2016,CELLPACK 20L (PK30L),,,,"$37,968.00"
,4,7451,16,15/08/2016,"COMBITROL PLUS LEVEL 1,2,3",,,,"$29,804.00"
,5,5698,16,15/08/2016,"CALSET PROGESTERONA,FT3,FT4",,,,"$28,490.00"
,3,225,16,15/08/2016,CAJA HOJA DE BISTURI AL CARBON No.15,,,,$675.00
,5,985,16,15/08/2016,CAJA DE TUBO LATEX P/ASPIRACION,,,,"$4,925.00"
,3,715,16,15/08/2016,CAJA C/12 CROMICO 3-0 AHUSADA 26 MM,,,,"$2,145.00"
,6,196,16,15/08/2016,"CAJA CINTA MICROPORE 1.25 1/2""",,,,"$1,176.00"
,14,750,16,15/08/2016,"CAJA INTROCAN CERTO NUM 16,18,20,22",,,,"$10,500.00"
,10,325,16,15/08/2016,CAJAS C/100 DE DUOTIP APLICADOR,,,,"$3,250.00"
,100,11.25,16,15/08/2016,CAMPO SENCILLO 60X60 CM. ESTERIL,,,,"$1,125.00"
,200,15,16,15/08/2016,CAMPO ESTERIL HENDIDO 50X70 C/ADHESIVO,,,,"$3,000.00"
,5,518,16,15/08/2016,CEPILLO C/PCMX 3% C/30 EZ-SCRUB,,,,"$2,590.00"
,10,90,16,15/08/2016,COMPRESA 70X45 C/6,,,,$900.00
,10,219,16,15/08/2016,CONOS P/OTOSCOPIO ADULTO,,,,"$2,190.00"
,20,57.5,16,15/08/2016,CUBREBOCAS AZUL C/50,,,,"$1,150.00"
,20,375,16,15/08/2016,CIRCUITO BAIN DE 60 PULGADAS,,,,"$7,500.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
