FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,50,30.5,16,18/01/2016,DISPOSITIVO INTRAUTERINO T. DIU,,,,"$1,525.00"
,2,960,16,18/01/2016,DYNAGLASS PRELUDE FERULIZACION ROLLO 2.,,,,"$1,920.00"
,4,1202,16,18/01/2016,DYNAGLASS PRELUDE FERULIZACION ROLLO 3.,,,,"$4,808.00"
,4,2217,16,18/01/2016,DYNAGLASS PRELUDE FERULIZACION ROLLO 4.,,,,"$8,868.00"
,2,2717,16,18/01/2016,DYNAGLASS PRELUDE FERULIZACION ROLLO 5.,,,,"$5,434.00"
,5,594,16,18/01/2016,EQUIPO ESTERIL CIRUGIA UNIVERSAL AR.,,,,"$2,970.00"
,5,212.5,16,18/01/2016,EQUIPO ESTERIL PARA CIRUGIA MENOR,,,,"$1,062.50"
,20,24.87,16,18/01/2016,EQUIPO P. VOL. MEDIDOS 0-100 ML.,,,,$497.40
,50,7.3,16,18/01/2016,EQUIPO MARIPOSA 23G. PZA.,,,,$365.00
,50,7.3,16,18/01/2016,EQUIPO MARIPOSA 25G. PZA.,,,,$365.00
,500,6.88,16,18/01/2016,EQUIPO PARA VENOCLISIS NORMOGOTERO EST. DESECH.,,,,"$3,440.00"
,200,8.75,16,18/01/2016,ESPEJO VAGINAL DESECH.,,,,"$1,750.00"
,6,335,16,18/01/2016,EXGERM SOLUCION ANTISEPTICA,,,,"$2,010.00"
,3,5450,16,18/01/2016,ELECSYS ESTRADIOL II CALSET (LYO) Y TSH,,,,"$16,350.00"
,1,3477,16,18/01/2016,EMPTY 150 STRIPS OF 4 CUVETTES,,,,"$3,477.00"
,2,12665,16,18/01/2016,E-CHECK (XE) 4X4.5MLX3 LOW/NORM/HIGH,,,,"$25,330.00"
,50,26.1,16,18/01/2016,FLEBOTEK QCO.NB VENOCLISIS,,,,"$1,305.00"
,2,412.5,16,18/01/2016,GASA ROLLO 20X12 91X91,,,,$825.00
,30,83,16,18/01/2016,GASA SECA 7.5X5CM.,,,,"$2,490.00"
,7,472.5,16,18/01/2016,GEL ULTRA PHONIC 4 LTS.,,,,"$3,307.50"
,50,94.5,16,18/01/2016,GEL ANTIBACTERIAL DE 1 L.,,,,"$4,725.00"
,450,7.12,16,18/01/2016,GUANTE CIRUJANO LATEX EST.,,,,"$3,204.00"
,110,99,16,18/01/2016,GUANTE NO ESTERIL CH. ME. Y GD. C/100 PZAS.,,,,"$10,890.00"
,8,160,16,18/01/2016,GUANTE PARA EXAMEN DE LATEX MED. CAJA C/100,,,,"$1,280.00"
,3,200,16,18/01/2016,HUATA SOFFBAN 7.5CM X 2.7MTS C/12,,,,$600.00
,3,14477,16,18/01/2016,"HBA1C TQ 3.150 TESTS, COBAS C 501",,,,"$43,431.00"
,1,2809,16,18/01/2016,"ISE STANDARD LOW, MED, HIGH",,,,"$2,809.00"
,20,29.5,16,18/01/2016,JALEA LUBRICANTE 135 GR.,,,,$590.00
,6,215.34,16,18/01/2016,JERINGA 10ML. 22X32 C/100 TERUMO,,,,"$1,292.04"
,8,235,16,18/01/2016,JERINGA 3ML 21X32 C/100 TERUMO,,,,"$1,880.00"
,12,235,16,18/01/2016,JERINGA 3ML. 22X32 C/100 TERUMO,,,,"$2,820.00"
,10,235,16,18/01/2016,JERINGA 3ML. 23X25 C/100 TERUMO,,,,"$2,350.00"
,15,235,16,18/01/2016,JERINGA 5ML 22X32 C/100 TERUMO,,,,"$3,525.00"
,150,9.6,16,18/01/2016,JERINGA 50cc. P/IRRIGACION,,,,"$1,440.00"
,7,373.75,16,18/01/2016,JERINGA PARA INSULINA 31GX8MM C/100,,,,"$2,616.25"
,10,72,16,18/01/2016,JERINGA ASEPTO DE 60 ML. DESECHABLE,,,,$720.00
,60,548,16,18/01/2016,LANCETAS ONE TOUCH C/25,,,,"$32,880.00"
