,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,50,30.5,16,2016-07-18,DISPOSITIVO INTRAUTERINO T. DIU,,,," $1,525.00 "
,1,960,16,2016-07-18,"DYNAGLASS PRELUDE FERULIZACION ROLLO 2"".",,,, $960.00 
,4,1202,16,2016-07-18,"DYNAGLASS PRELUDE FERULIZACION ROLLO 3"".",,,," $4,808.00 "
,4,2217,16,2016-07-18,"DYNAGLASS PRELUDE FERULIZACION ROLLO 4"".",,,," $8,868.00 "
,3,2717,16,2016-07-18,"DYNAGLASS PRELUDE FERULIZACION ROLLO 5"".",,,," $8,151.00 "
,23,594,16,2016-07-18,EQUIPO ESTERIL CIRUGIA UNIVERSAL AR.,,,," $13,662.00 "
,18,212.5,16,2016-07-18,EQUIPO ESTERIL PARA CIRUGIA MENOR,,,," $3,825.00 "
,1,1115,16,2016-07-18,"EQUIPO ALADO SAFETY-LOK 23X19/7"" C/50 PZAS",,,," $1,115.00 "
,400,7.3,16,2016-07-18,EQUIPO MARIPOSA 23G. PZA.,,,," $2,920.00 "
,400,7.3,16,2016-07-18,EQUIPO MARIPOSA 25G. PZA.,,,," $2,920.00 "
,400,8.75,16,2016-07-18,ESPEJO VAGINAL DESECH.,,,," $3,500.00 "
,1,650,16,2016-07-18,EXTRAN ALCALINO 5 LTOS.,,,, $650.00 
,12,335,16,2016-07-18,EXGERM SOLUCION ANTISEPTICA,,,," $4,020.00 "
,1,5450,16,2016-07-18,ELECSYS ESTRADIOL II CALSET (LYO) Y TSH,,,," $5,450.00 "
,1,780,16,2016-07-18,FACTOR REUMATOIDE 100 PBAS.,,,, $780.00 
,20,26.1,16,2016-07-18,FLEBOTEK QCO.NB VENOCLISIS,,,, $522.00 
,6,677.5,16,2016-07-18,FOCO 2600,,,," $4,065.00 "
,127,83,16,2016-07-18,GASA SECA 7.5X5CM.,,,," $10,541.00 "
,36,94.5,16,2016-07-18,GEL ANTIBACTERIAL DE 1 L.,,,," $3,402.00 "
,50,62.5,16,2016-07-18,GLUCOX 250 ML. 100 GRS. GLUCOSA),,,," $3,125.00 "
,22,62.5,16,2016-07-18,GLUCOX 250 ML. 75 GRS. GLUCOSA),,,," $1,375.00 "
,700,7.12,16,2016-07-18,GUANTE CIRUJANO LATEX EST.,,,," $4,984.00 "
,2,184,16,2016-07-18,GUANTE DES. POLIET MED. Y GDE. C/100,,,, $368.00 
,120,99,16,2016-07-18,GUANTE NO ESTERIL CH. ME. Y GD. C/100 PZAS.,,,," $11,880.00 "
,2,200,16,2016-07-18,HUATA SOFFBAN 7.5CM X 2.7MTS C/12,,,, $400.00 
,1,468,16,2016-07-18,HEMOCOLORANTE RAPIDO SET HYCEL,,,, $468.00 
,5,245,16,2016-07-18,ISODINE ESPUMA GALON,,,," $1,225.00 "
,12,85,16,2016-07-18,JABON QUIRURGICO GALON,,,," $1,020.00 "
,70,29.5,16,2016-07-18,JALEA LUBRICANTE 135 GR.,,,," $2,065.00 "
,5,235,16,2016-07-18,JERINGA 1ML.29X13 C/100 TERUMO,,,," $1,175.00 "
,25,9.6,16,2016-07-18,JERINGA 50cc. P/IRRIGACION,,,, $240.00 
,3,548,16,2016-07-18,LANCETAS ONE TOUCH C/25,,,," $1,644.00 "
,10,36.12,16,2016-07-18,MASCARILLA CON RESERVORIO ADULTO,,,, $361.20 
,30,35,16,2016-07-18,MICRO NEBULIZADOR CON TUBO Y T,,,," $1,050.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
