,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,3,290,16,18/07/2016,PAPEL KRAF 45 X 70,,,,$870.00
,3,1875,16,18/07/2016,PAPEL CREPADO ESTERILIZACION,,,,"$5,625.00"
,5,928.75,16,18/07/2016,PAPEL PARAFILM 10 CM. X 76 MTS.,,,,"$4,643.75"
,1,1125,16,18/07/2016,PARCHES TAGADERM 10X12 C/50 PZAS.,,,,"$1,125.00"
,15,363.7,16,18/07/2016,PASTA P/COLOSTOMIA TUBO 60G.,,,,"$5,455.50"
,3,1758,16,18/07/2016,PREMILENE 3/0 45 CM. DS 24 CAJA CON 36 PZAS.,,,,"$5,274.00"
,1,1163,16,18/07/2016,PREMILENE 5/0 45 CM DSMP 13 CAJA CON 12,,,,"$1,163.00"
,70,21.25,16,18/07/2016,PLACAS PETRI ESTERILES C/10,,,,"$1,487.50"
,4,1168,16,18/07/2016,PROTEINA C REACTIVA I.D.,,,,"$4,672.00"
,3,339,16,18/07/2016,POLVO STOMAHESIVE,,,,"$1,017.00"
,30,98,16,18/07/2016,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,,"$2,940.00"
,90,136,16,18/07/2016,SABANA DE CAJON 1.20X2.40X0.14,,,,"$12,240.00"
,130,110,16,18/07/2016,SABANA PLANA 1.2X2.0,,,,"$14,300.00"
,3,427,16,18/07/2016,SILKAM BLACK 4/0 75CM HR26 CAJA CON 12,,,,"$1,281.00"
,3,674,16,18/07/2016,SAFIL UNDYED 3/0 45CM DS 19 CAJA CON 12,,,,"$2,022.00"
,1,614,16,18/07/2016,S.F. PLUS FLX CARNE ARO 70 MM CAJA CON 5,,,,$614.00
,12,109.2,16,18/07/2016,SONDA FOLEY SILIC 14 FR 2 VIAS C/GLOBO 5ML.,,,,"$1,310.40"
,80,11.5,16,18/07/2016,SONDA NELATON FR. 14 CAT. V-773-14,,,,$920.00
,800,8.64,16,18/07/2016,TAPON P/SELLO VENOSO IN-STOPFEN PZA.,,,,"$6,912.00"
,35,556,16,18/07/2016,TIRAS P/GLUCOSA ONE TOUCH ULTRA C/50,,,,"$19,460.00"
,7,225,16,18/07/2016,TELA TRANSPORE 2.5 X 9MT CAJA C/12,,,,"$1,575.00"
,36,10.5,16,18/07/2016,TERMOMETRO DE VIDRIO ORAL,,,,$378.00
,18,58.5,16,18/07/2016,TORUNDA DE ALGODON DE 500 GRS.,,,,"$1,053.00"
,1,685,16,18/07/2016,TUBO LILA 4ML PLAST C/100 BD,,,,$685.00
,5,42.5,16,18/07/2016,TUBO ENDOTRAQUEAL No. 3.0 Y 4.0,,,,$212.50
,50,35,16,18/07/2016,UNIFORME CIRUJANO ESTERIL DESECHABLE,,,,"$1,750.00"
,1200,3,16,18/07/2016,VASO ESTERIL RECOLECCION DE ORINA,,,,"$3,600.00"
,10,49.5,16,18/07/2016,VENDA ELASTICA 5X5M. C/12.,,,,$495.00
,12,72,16,18/07/2016,VENDA ELASTICA 7 CM. X 5 MTS C/12,,,,$864.00
,30,64.5,16,18/07/2016,VENDA ELASTICA 10CMS X 5 MTS C/12,,,,"$1,935.00"
,23,96,16,18/07/2016,VENDA ELASTICA 15 X5 MTS. C/12,,,,"$2,208.00"
,2,1768,16,18/07/2016,VICRYL 6/0 45 CM. CAJA C/12.,,,,"$3,536.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
