,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
ENFERMERIAS,,,,,,20-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2,960,16,2016-06-20,"DYNAGLASS PRELUDE FERULIZACION ROLLO 2"".",,,," $1,920.00 "
,4,1202,16,2016-06-20,"DYNAGLASS PRELUDE FERULIZACION ROLLO 3"".",,,," $4,808.00 "
,5,2217,16,2016-06-20,"DYNAGLASS PRELUDE FERULIZACION ROLLO 4"".",,,," $11,085.00 "
,2,2717,16,2016-06-20,"DYNAGLASS PRELUDE FERULIZACION ROLLO 5"".",,,," $5,434.00 "
,2,1982,16,2016-06-20,DRENAJE DE BLAKE NUM. 15 Y 19,,,," $3,964.00 "
,20,594,16,2016-06-20,EQUIPO ESTERIL CIRUGIA UNIVERSAL AR.,,,," $11,880.00 "
,20,212.5,16,2016-06-20,EQUIPO ESTERIL PARA CIRUGIA MENOR,,,," $4,250.00 "
,1,1115,16,2016-06-20,"EQUIPO ALADO SAFETY-LOK 23X19/7"" C/50 PZAS",,,," $1,115.00 "
,1000,6.88,16,2016-06-20,EQUIPO PARA VENOCLISIS NORMOGOTERO EST. DESECH.,,,," $6,880.00 "
,200,8.75,16,2016-06-20,ESPEJO VAGINAL DESECH.,,,," $1,750.00 "
,2,780,16,2016-06-20,FACTOR REUMATOIDE 100 PBAS.,,,," $1,560.00 "
,120,26.1,16,2016-06-20,FLEBOTEK QCO.NB VENOCLISIS,,,," $3,132.00 "
,4,677.5,16,2016-06-20,FOCO 2600,,,," $2,710.00 "
,96,18.75,16,2016-06-20,FUNDA P. MESA MAYO ESTERIL,,,," $1,800.00 "
,2,412.5,16,2016-06-20,GASA ROLLO 20X12 91X91,,,, $825.00 
,324,83,16,2016-06-20,GASA SECA 7.5X5CM.,,,," $26,892.00 "
,24,472.5,16,2016-06-20,GEL ULTRA PHONIC 4 LTS.,,,," $11,340.00 "
,60,62.5,16,2016-06-20,GLUCOX 250 ML. 100 GRS. GLUCOSA),,,," $3,750.00 "
,3,62.5,16,2016-06-20,"GORRO BLANCO REDONDO 21""",,,, $187.50 
,3,62.5,16,2016-06-20,GORRO PARA CIRUJANO,,,, $187.50 
,1000,7.12,16,2016-06-20,GUANTE CIRUJANO LATEX EST.,,,," $7,120.00 "
,5,184,16,2016-06-20,GUANTE DES. POLIET MED. Y GDE. C/100,,,, $920.00 
,160,99,16,2016-06-20,GUANTE NO ESTERIL CH. ME. Y GD. C/100 PZAS.,,,," $15,840.00 "
,3,200,16,2016-06-20,HUATA SOFFBAN 7.5CM X 2.7MTS C/12,,,, $600.00 
,3,245,16,2016-06-20,ISODINE ESPUMA GALON,,,, $735.00 
,10,85,16,2016-06-20,JABON QUIRURGICO GALON,,,, $850.00 
,30,29.5,16,2016-06-20,JALEA LUBRICANTE 135 GR.,,,, $885.00 
,5,235,16,2016-06-20,JERINGA 3ML 21X32 C/100 TERUMO,,,," $1,175.00 "
,7,235,16,2016-06-20,JERINGA 3ML. 22X32 C/100 TERUMO,,,," $1,645.00 "
,15,72,16,2016-06-20,JERINGA ASEPTO DE 60 ML. DESECHABLE,,,," $1,080.00 "
,7,548,16,2016-06-20,LANCETAS ONE TOUCH C/25,,,," $3,836.00 "
,90,36.12,16,2016-06-20,MASCARILLA CON RESERVORIO ADULTO,,,," $3,250.80 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $143,406.80 "
,,,,,,,,," $166,351.89 "
