,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,9,1091,16,2016-03-15,CATGUT CHROM 3/0 75CM. CAJA C/24 PZAS,,,,"$9,819.00"
,4,518,16,2016-03-15,CEPILLO C/PCMX 3% C/30 EZ-SCRUB,,,,"$2,072.00"
,10,225,16,2016-03-15,CINTA TRANSPORE,,,,"$2,250.00"
,30,90,16,2016-03-15,COMPRESA 70X45 C/6,,,,"$2,700.00"
,10,112.5,16,2016-03-15,CUBRE ZAPATO SMS AZUL 100 PZAS.,,,,"$1,125.00"
,12,375,16,2016-03-15,CIRCUITO BAIN DE 60 PULGADAS,,,,"$4,500.00"
,70,30.5,16,2016-03-15,DISPOSITIVO INTRAUTERINO T. DIU,,,,"$2,135.00"
,3,1982,16,2016-03-15,DRENAJE DE BLAKE NUM. 15 Y 19,,,,"$5,946.00"
,2,5450,16,2016-03-15,ELECSYS ESTRADIOL II CALSET (LYO) Y TSH,,,,"$10,900.00"
,1,3477,16,2016-03-15,EMPTY 150 STRIPS OF 4 CUVETTES,,,,"$3,477.00"
,1,12665,16,2016-03-15,E-CHECK (XE) 4X4.5MLX3 LOW/NORM/HIGH,,,,"$12,665.00"
,50,594,16,2016-03-15,EQUIPO ESTERIL CIRUGIA UNIVERSAL AR.,,,,"$29,700.00"
,50,212.5,16,2016-03-15,EQUIPO ESTERIL PARA CIRUGIA MENOR,,,,"$10,625.00"
,5,24.87,16,2016-03-15,EQUIPO P. VOL. MEDIDOS 0-100 ML.,,,,$124.35
,800,6.88,16,2016-03-15,EQUIPO PARA VENOCLISIS NORMOGOTERO EST. DESECH.,,,,"$5,504.00"
,400,8.75,16,2016-03-15,ESPEJO VAGINAL DESECH.,,,,"$3,500.00"
,1,650,16,2016-03-15,EXTRAN ALCALINO 5 LTOS.,,,,$650.00
,18,335,16,2016-03-15,EXGERM SOLUCION ANTISEPTICA,,,,"$6,030.00"
,2,780,16,2016-03-15,FACTOR REUMATOIDE 100 PBAS.,,,,"$1,560.00"
,80,26.1,16,2016-03-15,FLEBOTEK QCO.NB VENOCLISIS,,,,"$2,088.00"
,54,11.25,16,2016-03-15,FUNDA P. MESA MAYO ESTERIL,,,,$607.50
,300,83,16,2016-03-15,GASA SECA 7.5X5CM.,,,,"$24,900.00"
,1,472.5,16,2016-03-15,GEL ULTRA PHONIC 4 LTS.,,,,$472.50
,48,94.5,16,2016-03-15,GEL ANTIBACTERIAL DE 1 L.,,,,"$4,536.00"
,50,62.5,16,2016-03-15,GLUCOX 250 ML. 100 GRS. GLUCOSA),,,,"$3,125.00"
,100,62.5,16,2016-03-15,GLUCOX 250 ML. 75 GRS. GLUCOSA),,,,"$6,250.00"
,2,62.5,16,2016-03-15,GORRO PARA ENFERMERA Y PACIENTE,,,,$125.00
,2,62.5,16,2016-03-15,GORRO PARA CIRUJANO,,,,$125.00
,750,7.12,16,2016-03-15,GUANTE CIRUJANO LATEX EST.,,,,"$5,340.00"
,140,99,16,2016-03-15,GUANTE NO ESTERIL CH. ME. Y GD. C/100 PZAS.,,,,"$13,860.00"
,10,160,16,2016-03-15,GUANTE PARA EXAMEN DE LATEX MED. CAJA C/100,,,,"$1,600.00"
,16,200,16,2016-03-15,HUATA SOFFBAN 7.5CM X 2.7MTS C/12,,,,"$3,200.00"
,3,468,16,2016-03-15,HEMOCOLORANTE RAPIDO SET HYCEL,,,,"$1,404.00"
,5,600,16,2016-03-15,HISTOACRIL BLUE 0.5 ML,,,,"$3,000.00"
,1,14477,16,2016-03-15,"HBA1C TQ 3.150 TESTS, COBAS C 501",,,,"$14,477.00"
,2,2809,16,2016-03-15,"ISE STANDARD LOW, MED, HIGH",,,,"$5,618.00"
,6,85,16,2016-03-15,JABON QUIRURGICO GALON,,,,$510.00
,20,29.5,16,2016-03-15,JALEA LUBRICANTE 135 GR.,,,,$590.00
,12,215.34,16,2016-03-15,JERINGA 10ML. 22X32 C/100 TERUMO,,,,"$2,584.08"
,10,235,16,2016-03-15,JERINGA 3ML. 23X25 C/100 TERUMO,,,,"$2,350.00"
,15,235,16,2016-03-15,JERINGA 5ML 22X32 C/100 TERUMO,,,,"$3,525.00"
,8,373.75,16,2016-03-15,JERINGA PARA INSULINA 31GX8MM C/100,,,,"$2,990.00"
,10,72,16,2016-03-15,JERINGA ASEPTO DE 60 ML. DESECHABLE,,,,$720.00
,5,548,16,2016-03-15,LANCETAS ONE TOUCH C/25,,,,"$2,740.00"
,70,36.12,16,2016-03-15,MASCARILLA CON RESERVORIO ADULTO,,,,"$2,528.40"
,10,36.12,16,2016-03-15,MASCARILLA CON RESERVORIO INFANTIL,,,,$361.20
,10,36.12,16,2016-03-15,MASCARILLA PARA OXIGENO PEDIATRICA,,,,$361.20
,50,35,16,2016-03-15,MICRO NEBULIZADOR CON TUBO Y T,,,,"$1,750.00"
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
