,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,29-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1,16417.48,16, 2016-05-06,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,,," $16,417.48 "
,4,645.23,16, 2016-05-06,ULTRABLEND C/2 JERINGAS,,,," $2,580.92 "
,1,457,16, 2016-05-06,APLICADORES DE FIBRA DESECHABLES,,,, $457.00 
,1,565.63,16, 2016-05-06,ACEITE LUBRICANTE (PANASPRAY),,,, $565.63 
,5,71.98,16, 2016-05-06,BANDA MATRIZ METALICA 3/16,,,, $359.90 
,4,50.5,0, 2016-05-06,ANESTESIA TOPICA FCO. 30GR,,,, $202.00 
,4,43.68,16, 2016-05-06,PANOS EXPRIMIDORES DE AMALGAMA C/50,,,, $174.72 
,3,47.78,16, 2016-05-06,OXIDO DE ZINC DENTSPLY,,,, $143.34 
,10,531.59,0, 2016-05-06,ANESTESIA AL 2%,,,," $5,315.90 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $26,216.89 "
,,,,,,,,," $4,194.70 "
,,,,,,,,," $30,411.59 "
