,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,19-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,15,38.5,16,2016-09-23,FERULA PARA DEDO TIPO SOMBRILLA CHICA,,,, $577.50 
,15,38.5,16,2016-09-23,FERULA PARA DEDO TIPO SOMBRILLA GRANDE,,,, $577.50 
,15,38.5,16,2016-09-23,FERULA PARA DEDO TIPO SOMBRILLA MEDIANA,,,, $577.50 
,15,38.5,16,2016-09-23,FERULA PARA DEDO TIPO RANA CHICA,,,, $577.50 
,15,38.5,16,2016-09-23,FERULA PARA DEDO TIPO RANA GRANDE,,,, $577.50 
,6,620,16,2016-09-23,RODILLERA C/REFUERZOS  LATERAL  MED  ,,,," $3,720.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,SUBTOTAL," $6,607.50 "
,,,,,,,,IVA," $1,057.20 "
,,,,,,,,TOTAL," $7,664.70 "
,,,,,,,,,
