,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0002,175,0.19,16,21/07/2016,ABATELENGUAS C/25,,,,$33.25
MAT0024,100,0.66,16,21/07/2016,AGUJA DESECHABLE 23X25MM,,,,$66.00
MAT0044,10,21,16,21/07/2016,ALCOHOL ETILICO DESNAT. 70? 1LT,,,,$210.00
MAT0079,10,6.5,16,21/07/2016,BATAS DESECHABLES,,,,$65.00
EQU040,1,300,16,21/07/2016,BAUMANOMETRO CON ESTETOSCOPIO MARCA HERGOM,,,,$300.00
MAT0342,500,0.33,16,21/07/2016,CUBREBOCAS DESECHABLE,,,,$165.00
MAT1195,4,18,16,21/07/2016,DERMA QRIK FCO. 500ML,,,,$72.00
MAT0368,200,2,16,21/07/2016,ELECTRODOS PARCHE,,,,$400.00
MAT0484,200,0.85,16,21/07/2016,GASA SECA ESTêRIL 10X10,,,,$170.00
MAT0502,100,4.5,16,21/07/2016,GUANTES CAUCHO NO. 7 USO CIRUGIA,,,,$450.00
MAT0562,100,5.9,16,21/07/2016,JELCO NO. 14,,,,$590.00
MAT0563,50,5.9,16,21/07/2016,JELCO NO. 16,,,,$295.00
MAT0565,150,5.9,16,21/07/2016,JELCO NO. 20,,,,$885.00
MAT0566,200,5.9,16,21/07/2016,JELCO NO. 22,,,,"$1,180.00"
MAT0567,100,5.9,16,21/07/2016,JELCO NO. 24,,,,$590.00
MAT1194,300,1.32,16,21/07/2016,LANCETAS P/GLUCOMETRO (ACCU CHECK PERFORMA),,,,$396.00
MAT0892,12,22.8,16,21/07/2016,CATGUT 3-0 C/12,,,,$273.60
MAT0916,150,5.4,16,21/07/2016,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,,,$810.00
MAT1016,24,2.3,16,21/07/2016,VENDA ELASTICA 5CMX4.5MTS,,,,$55.20
MAT0518,400,0.672,16,21/07/2016,GUANTES LATEX MEDIANOS NO ESTERIL,,,,$268.80
MAT0569,100,1.7,16,21/07/2016,JERINGA 1CC (29X13),,,,$170.00
MAT0668,10,24,16,21/07/2016,PILA AAA,,,,$240.00
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
