,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,28-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,2,150,16,2016-11-25,GEL ULTRASONIDO PARA TERAPIA,,,, $300.00 
,150,11.5,16,2016-11-25,SABANAS CON ELASTICO MEDIDA CHEPEVERA (0.90X2.00X0.14),,,," $1,725.00 "
,150,11.5,16,2016-11-25,SABANA CON ELASTICO 1.20 X 2.00 CHEPEVERA,,,," $1,725.00 "
,200,5,16,2016-11-25,FUNDA DESECHABLE PARA ALMOHADA 50X70CM,,,," $1,000.00 "
,200,6.5,16,2016-11-25,PANTALON CORTO,,,," $1,300.00 "
,200,6.5,16,2016-11-25,BATAS DESECHABLES,,,," $1,300.00 "
,200,0.68,16,2016-11-25,GUANTES LATEX MEDIANOS NO ESTERIL,,,, $136.00 
,20,35,16,2016-11-25,FUNDA PARA ALMOHADA HOSPITALARIA VINIL,,,, $700.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
