,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,36,21,16,29/02/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,,$756.00
,200,25,16,29/02/2016,BATAS DESECHABLES,,,,"$5,000.00"
,100,0.92,16,29/02/2016,BOLSA ROJA,,,,$92.00
,50,16,16,29/02/2016,CAMPO HENDIDO CON ADHESIVO,,,,$800.00
,12,11.25,16,29/02/2016,"MICROPORE 1""",,,,$135.00
,24,13.3,16,29/02/2016,"TRANSPORE 1""",,,,$319.20
,200,5,16,29/02/2016,FUNDA DESECHABLE PARA ALMOHADA 50X70CM,,,,"$1,000.00"
,4000,70,16,29/02/2016,GASA S/ESTERILIZAR BOLSA 10X10,,,,"$280,000.00"
,300,0.672,16,29/02/2016,GUANTES LATEX CHICOS,,,,$201.60
,1500,0.672,16,29/02/2016,GUANTES LATEX MEDIANOS,,,,"$1,008.00"
,100,4,16,29/02/2016,JERINGA 20CC SIN AGUJA,,,,$400.00
,10,19.5,16,29/02/2016,RECOLECTOR P/MATERIAL PUNZOCORTANTE DE 1.4,,,,$195.00
,180,11,16,29/02/2016,SABANA CON ELASTICO 1.20X2.40X0.14,,,,"$1,980.00"
,10,45,16,29/02/2016,BOLSA DE TORUNDAS DE ALGODON,,,,$450.00
,120,4,16,29/02/2016,VENDA ELASTICA 10CMX4.5MTS,,,,$480.00
,144,2.4,16,29/02/2016,VENDA ELASTICA 5CMX4.5MTS,,,,$345.60
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
