,,,,FORMATO DE REQUISICI…N,,,,,,,
,,,,UBOLD,,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
,,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
AGUASCALIENTES,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,,SELECCI…N
MAT0349,100,0.18,16,26/02/2016,CURITA DE BANDA CAJA C/ 100 PZAS,,C/100,$18.00,$18.00,100,CURITA DE BANDA CAJA C/ 100 PZAS
MAT1121,400,1.17,16,26/02/2016,GUANTES ESTERILES MEDIANOS,,CAJA C/100,$117.00,$468.00,100,GUANTES ESTERILES MEDIANOS
MAT0894,24,15.5,16,26/02/2016,Nylon 2-0 ,,CAJA C /12,$186.00,$372.00,12,Nylon 2-0 
MAT0895,24,15.5,16,26/02/2016,Nylon 3-0 ,,CAJA C/12,$186.00,$372.00,12,Nylon 3-0 
MAT1130,400,1.4,16,26/02/2016,JERINGA DESECHABLE  3 ML,,CAJA C/100,$140.00,$560.00,100,JERINGA DESECHABLE  3 ML
MAT1135,300,0.82,16,26/02/2016,GUANTES NO ESTERILES MEDIANOS ,,CAJA C/100,$82.00,$246.00,100,GUANTES NO ESTERILES MEDIANOS 
MAT1172,300,1.55,16,26/02/2016,JERINGA 5 ML,,CAJA C/100,$155.00,$465.00,100,JERINGA 5 ML
MED0066,500,0.2,0,26/02/2016,CAPTOPRIL C/30  TAB. 25mg,,C/30,$6.00,$100.00,30,CAPTOPRIL C/30  TAB. 25mg
MED0208,100,0.36,0,26/02/2016,ISOSORBIDA 5MG C/20 TAB,,C/20,$7.20,$36.00,20,ISOSORBIDA 5MG C/20 TAB
MED0215,150,3.666666667,0,26/02/2016,KETOROLACO AMP 30 MG,,C/3 ,$11.00,$550.00,3,KETOROLACO AMP 30 MG
MED0236,250,4,0,26/02/2016,AMPULAS METAMIZOL INYECTABLE  DE 2ML,,C/3,$12.00,"$1,000.00",3,AMPULAS METAMIZOL INYECTABLE  DE 2ML
MED0355,10,260,0,26/02/2016,SALBUTAMOL EN SOLUCION PARA NEBULIZAR (VENTOLIN) FRASCO DE 10ML ,,PIEZA,$260.00,"$2,600.00",1,SALBUTAMOL EN SOLUCION PARA NEBULIZAR (VENTOLIN) FRASCO DE 10ML 
MED1012,100,6.9,0,26/02/2016,DEXAMETASONA  SOL. INY. 8 MG,,PIEZA,$6.90,$690.00,1,DEXAMETASONA  SOL. INY. 8 MG
MED0251,300,1.916666667,0,26/02/2016,NAPROXENO TAB 550 MG,,CAJA C/12,$23.00,$575.00,12,NAPROXENO TAB 550 MG
MED1008,6,17.5,0,26/02/2016,DICLOFENACO GEL,,PIEZA,$17.50,$105.00,1,DICLOFENACO GEL
MED1044,200,0.45,0,26/02/2016,Paracetamol Caja con 10 tab ,,CAJA C/10,$4.50,$90.00,10,Paracetamol Caja con 10 tab 
MED1038,100,0.35,0,26/02/2016,TABLETAS DE RANITIDINA C/10 TAB,,CAJA C/20,$7.00,$35.00,20,TABLETAS DE RANITIDINA C/10 TAB
MED1090,150,0.9,0,26/02/2016,LORATADINA TAB.,,CAJA C/10,$9.00,$135.00,10,LORATADINA TAB.
MED0038,100,0.496666667,0,26/02/2016,ASPIRINA TABLETAS ,,CAJA C/30,$14.90,$49.67,30,ASPIRINA TABLETAS 
MED4448,100,2.1,0,26/02/2016,BUTILHIOSINA GRAGEAS 10 MG,,CAJA C/10,$21.00,$210.00,10,BUTILHIOSINA GRAGEAS 10 MG
MAT1151,20,7.3,16,26/02/2016,EQUIPOS DE VENOCLISIS NORMOGOTEROS,,PIEZA,$7.30,$146.00,1,EQUIPOS DE VENOCLISIS NORMOGOTEROS
MAT1125,100,1.5,16,26/02/2016,JERINGAS DE 1ML,,CAJA C/100,$150.00,$150.00,100,JERINGAS DE 1ML
MAT4011,3,248,16,26/02/2016,EQUIPO DE PARTO (INSTRUMENTAL),,PIEZA,$248.00,$744.00,1,EQUIPO DE PARTO (INSTRUMENTAL)
MED1058,96,2.33,0,26/02/2016,METOCLOPRAMIDA 10MGX2ML AMP,,,,,,
MED0238,300,0.35,0,26/02/2016,METOCLOPRAMIDA GI TABS,,,,,,
MAT0916,100,5.4,0,26/02/2016,TIRILLAS PERFORMA,,,,,,
MED4480,200,0.7,0,26/02/2016,CLORFENAMINA  COMPUESTA C/10 TAB,,,,,,
LAB0017,300,0.92,16,26/02/2016,HISOPOS,,,,,,
