,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,90,6.9,0,2016-03-22,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,$621.00
,8,22,0,2016-03-22,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,,$176.00
,500,0.38,0,2016-03-22,AMBROXOL TAB.30 MG. TAB,,,,$190.00
,336,1.33,0,2016-03-22,AMOXICILINA 500,,,,$446.88
,500,0.73,0,2016-03-22,BENZONATATO PERLAS,,,,$365.00
,40,30,0,2016-03-22,BETAMETASONA AMP,,,,"$1,200.00"
,600,0.74,0,2016-03-22,CAFIASPIRINA ADULTO TAB C/100,,,,$444.00
,350,1.13,0,2016-03-22,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,$395.50
,180,1.97,0,2016-03-22,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,$354.60
,400,3.77,0,2016-03-22,CETIRIZINA TAB 10 MG C/10,,,,"$1,508.00"
,10,12.3,0,2016-03-22,CLORANFENICOL SOL. OFT. ,,,,$123.00
,400,0.73,0,2016-03-22,CLORFENAMINA COMPUESTA KY6 500MG,,,,$292.00
,1500,0.43,0,2016-03-22,DICLOFENACO 100MG TAB.,,,,$645.00
,50,17.9,0,2016-03-22,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$895.00
,624,1.88,0,2016-03-22,GRANEODIN B 10 MG 4 BENZOCAINA ,,,,"$1,173.12"
,108,20,0,2016-03-22,HIDRASEC TAB 100 MG C/9,,,,"$2,160.00"
,250,1.23,0,2016-03-22,IBUPROFENO 600 MG,,,,$307.50
,600,0.85,0,2016-03-22,ZOAFALET-H TABS 400 MG IBUPROFENO,,,,$510.00
,400,1.48,16,2016-03-22,JERINGA 5CC (22X32),,,,$592.00
,500,2.13,0,2016-03-22,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,,"$1,065.00"
,6,83.5,0,2016-03-22,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,,$501.00
,420,0.54,0,2016-03-22,LOPERAMIDA 2 MG C/12 TABLETAS,,,,$226.80
,480,3.05,0,2016-03-22,LORATADINA + BETAMETASONA 5.0MG/0.25MG TAB.,,,,"$1,464.00"
,600,0.8,0,2016-03-22,LORATADINA 10MG GRAGEAS,,,,$480.00
,4,67,16,2016-03-22,LYSOL DESINFECTANTE ,,,,$268.00
,500,2.7,0,2016-03-22,METOCARBAMOL/ MELOXICAM TAB C/10,,,,"$1,350.00"
,500,0.25,0,2016-03-22,Metoclopramida c/20,,,,$125.00
,10,22,0,2016-03-22,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,,$220.00
,600,0.68,0,2016-03-22,OMEPRAZOL CAPSULA 20 MG C/14,,,,$408.00
,450,0.23,0,2016-03-22,PARACETAMOL 500MG TAB.,,,,$103.50
,400,1.3,0,2016-03-22,PARACETAMOL C/ NAPROXENO,,,,$520.00
,10,70,0,2016-03-22,TETRACAINA SOL. OFTALMICA GTS. ,,,,$700.00
,500,2.2,0,2016-03-22,SAL DE UVAS PICOT C/50,,,,"$1,100.00"
,700,6.96,16,2016-03-22,TIRAS REACTIVAS ACTIVE  ACCU CHECK ,,,,"$4,872.00"
,150,1.5,16,2016-03-22,Toallas sanitarias c/10,,,,$225.00
,90,7,0,2016-03-22,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,,$630.00
,36,73.61,16,2016-03-22,VICRYL 3-0 AGUJA SH J311 (R2693),,,,"$2,649.96"
,400,1.07,0,2016-03-22,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,,$428.00
,600,1.48,0,2016-03-22,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,,$888.00
,600,0.89,0,2016-03-22,MECLIZINA + PIRIDOXINA TABS,,,,$534.00
,100,0.13,0,2016-03-22,CAPTOPRIL 25MG TAB.,,,,$13.00
,70,16.5,0,2016-03-22,CEFTRIAXONA 1G/10ML SOL. INY.,,,,"$1,155.00"
,800,0.55,0,2016-03-22,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,,,,$440.00
,100,2.65,0,2016-03-22,FENAZOPIRIDINA/AC NALIDIXICO,,,,$265.00
,28,6.42,0,2016-03-22,LEVOFLOXACINO 500MG C/7 TABLETAS,,,,$179.76
,15,17,0,2016-03-22,SOLDRIN SOL OTICA FCO. DE 10 ML CLORANFENICOL + HIDROCORTISONA + BENZOCAINA,,,,$255.00
,10,6.2,0,2016-03-22,NEOMELUBRINA 500 MG (METAMIZOL),,,,$62.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
