,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,10,13,0,2016-07-19,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $130.00 
,1500,6.9,0,2016-07-19,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,," $10,350.00 "
,400,21,0,2016-07-19,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,," $8,400.00 "
,600,8.33,0,2016-07-19,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,," $4,998.00 "
,40,31.5,0,2016-07-19,CEFTRIAXONA 1G/10ML SOL. INY.,,,," $1,260.00 "
,400,1.97,0,2016-07-19,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,, $788.00 
,1000,0.47,0,2016-07-19,DICLOFENACO 100MG TAB.C/10,,,, $470.00 
,1500,5.75,0,2016-07-19,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,," $8,625.00 "
,300,2.85,0,2016-07-19,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,, $855.00 
,500,2.1,0,2016-07-19,FLEXIVER TABS 15 MG MELOXICAM C/10,,,," $1,050.00 "
,15,31.9,0,2016-07-19,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,, $478.50 
,200,2,16,2016-07-19,JERINGA 10CC (22X32),,,, $400.00 
,1200,1.3,16,2016-07-19,JERINGA 3ML (22X32),,,," $1,560.00 "
,1200,1.48,16,2016-07-19,JERINGA 5CC (22X32),,,," $1,776.00 "
,1700,5,0,2016-07-19,KETOROLACO 30MG AMP.,,,," $8,500.00 "
,300,1.9,0,2016-07-19,NAPROXENO GI TABS. DE 500MG C/10,,,, $570.00 
,560,0.68,0,2016-07-19,OMEPRAZOL CAPSULA 20 MG C/14,,,, $380.80 
,48,15.08,16,2016-07-19,SUTURA NYLON 2,,,, $723.84 
,108,15.08,16,2016-07-19,SUTURA NYLON 3,,,," $1,628.64 "
,108,16.34,16,2016-07-19,SUTURA NYLON 4,,,," $1,764.72 "
,108,20.75,16,2016-07-19,SUTURA NYLON 5,,,," $2,241.00 "
,2500,0.69,0,2016-07-19,KETOROLACO TAB. 10 MG,,,," $1,725.00 "
,1800,0.85,0,2016-07-19,IBUPROFENO TABS 400 MG IBUPROFENO,,,," $1,530.00 "
,300,7.68,0,2016-07-19,GABAPENTINA 300MG TAB,,,," $2,304.00 "
,250,38.2,0,2016-07-19,CLOROPIRAMINA 20MG AMP.,,,," $9,550.00 "
,250,21,0,2016-07-19,CLOROTRIMETON SOL.INY DE 10 MG CLORHIDRATO DE CLORFENAMINA,,,," $5,250.00 "
,1000,0.45,0,2016-07-19,PARACETAMOL 500MG TAB. C/10,,,, $450.00 
,15,146,0,2016-07-19,FURACIN POMADA 85 GR.,,,," $2,190.00 "
,900,2.7,0,2016-07-19,RANITIDINA 50MG AMP.,,,," $2,430.00 "
,300,1.49,0,2016-07-19,DICLOXACILINA 500MG CAP.,,,, $447.00 
,500,7,0,2016-07-19,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,," $3,500.00 "
,1,510,16,2016-07-19,ESTERICIDE 5 LTS,,,, $510.00 
,10,57.5,16,2016-07-19,GUIA PARA TUBO ENDOTRAQUEAL,,,, $575.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $87,410.50 "
,,,,,,,,," $1,879.15 "
,,,,,,,,," $89,289.65 "
