,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED4427,50,21,0,2016-07-21,BUTILHIOSCINA / METAMIZOL SODICO SOL INY 20 MG /  2.5 G,,,," $1,050.00 "
MED0101,10,11,0,2016-07-21,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,,,, $110.00 
MED0226,150,0.8,0,2016-07-21,LORATADINA 10MG GRAGEAS,,,, $120.00 
MED4451,100,7,0,2016-07-21,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,, $700.00 
MED1033,3,13,0,2016-07-21,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $39.00 
MED1063,3,40,0,2016-07-21,NORFENEFRINA SO. GOTAS FCO.,,,, $120.00 
MED1088,200,0.45,0,2016-07-21,PARACETAMOL 500MG TAB. C/10,,,, $90.00 
MED0296,3,70,0,2016-07-21,TETRACAINA SOL. OFTALMICA GTS. ,,,, $210.00 
MED1037,100,2.7,0,2016-07-21,RANITIDINA 50MG AMP.,,,, $270.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
