,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0002,100,0.55,0,2016-07-22,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,, $55.00 
MED4448,150,2.1,0,2016-07-22,BUTILHIOSCINA 10 MG C/10 TAB,,,, $315.00 
MED0061,78,8.33,0,2016-07-22,BUTILHIOSCINA SOL INY 20 MG / 1ML C/3 AMP,,,, $649.74 
MED4464,6,12.3,0,2016-07-22,CLORANFENICOL SOL. OFT. ,,,, $73.80 
MED0101,20,11,0,2016-07-22,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,,,, $220.00 
MED0367,5,31,0,2016-07-22,DEXNE OTICO GOTAS,,,, $155.00 
MED0116,40,5.75,0,2016-07-22,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,, $230.00 
MED0167,3,146,0,2016-07-22,FURACIN POMADA 85 GR.,,,, $438.00 
MED1059,120,1.75,0,2016-07-22,GRANEODIN B 10 MG 4 BENZOCAINA ,,,, $210.00 
MED0190,2,65,0,2016-07-22,HIDROCORTISONA 500MG AMP.,,,, $130.00 
MED1093,10,52,0,2016-07-22,IBUPROFENO GOTAS,,,, $520.00 
MED1030,200,0.85,0,2016-07-22,IBUPROFENO TABS 400 MG IBUPROFENO,,,, $170.00 
MED0208,30,1.88,0,2016-07-22,ISORBID TABS. DE 5 MG 0 DINITRATO DE ISOSORBIDA,,,, $56.40 
MED1045,100,0.69,0,2016-07-22,KETOROLACO TAB. 10 MG,,,, $69.00 
MED1032,100,5,0,2016-07-22,KETOROLACO 30MG AMP.,,,, $500.00 
MED0216,36,2.67,0,2016-07-22,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,, $96.12 
MED0223,120,0.75,0,2016-07-22,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $90.00 
MED0226,30,0.8,0,2016-07-22,LORATADINA 10MG GRAGEAS,,,, $24.00 
MED0238,100,0.25,0,2016-07-22,Metoclopramida c/20,,,, $25.00 
MED4478,20,9.5,0,2016-07-22,PARACETAMOL GTS 30ML ,,,, $190.00 
MED1088,300,0.45,0,2016-07-22,PARACETAMOL 500MG TAB. C/10,,,, $135.00 
MED0320,150,2.2,0,2016-07-22,SAL DE UVAS PICOT C/50,,,, $330.00 
MED4539,20,87,0,2016-07-22,MOTRIN JARABE 120 ML,,,," $1,740.00 "
MED1026,50,0.66,0,2016-07-22,"MELOX PLUS TABS MASTICABLES  ALUMINIO,MAGNESIO,DIMETICONA C/50",,,, $33.00 
MED4463,2,235,0,2016-07-22,CLORURO DE ETILO SPRAY ,,,, $470.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
