,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0318,45,1.07,0,2016-07-25,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB. C/15,,,, $48.15 
MED0066,30,0.19,0,2016-07-25,CAPTOPRIL 25MG TAB.,,,, $5.70 
MED4464,1,12.3,0,2016-07-25,CLORANFENICOL SOL. OFT. ,,,, $12.30 
MED4443,30,0.47,0,2016-07-25,DICLOFENACO 100MG TAB.C/10,,,, $14.10 
MED1020,60,0.33,0,2016-07-25,DIFENIDOL 25MG TAB.,,,, $19.80 
MED1012,2,6.9,0,2016-07-25,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,, $13.80 
MED0210,60,2.13,0,2016-07-25,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,, $127.80 
MED1063,1,40,0,2016-07-25,NORFENEFRINA SO. GOTAS FCO.,,,, $40.00 
MED1088,50,0.45,0,2016-07-25,PARACETAMOL 500MG TAB. C/10,,,, $22.50 
MED0321,1,32.5,0,2016-07-25,SALBUTAMOL 100MCG SPRAY,,,, $32.50 
MED0296,1,70,0,2016-07-25,TETRACAINA SOL. OFTALMICA GTS. ,,,, $70.00 
MED1045,40,0.69,0,2016-07-25,KETOROLACO TAB. 10 MG,,,, $27.60 
MED1085,1,235,0,2016-07-25,CLORURO DE ETILO SPRAY ,,,, $235.00 
MED0219,1,83.5,0,2016-07-25,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,, $83.50 
MED0320,50,2.2,0,2016-07-25,SAL DE UVAS PICOT C/50,,,, $110.00 
MED1033,1,13,0,2016-07-25,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $13.00 
MED0251,30,1.9,0,2016-07-25,NAPROXENO GI TABS. DE 500MG C/10,,,, $57.00 
MED0266,56,0.68,0,2016-07-25,OMEPRAZOL CAPSULA 20 MG C/14,,,, $38.08 
MED0002,220,0.55,0,2016-07-25,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,, $121.00 
MED0223,24,0.75,0,2016-07-25,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $18.00 
MED4576,75,0.72,0,2016-07-25,TUMS TABLETAS MASTICABLES C/48,,,, $54.00 
MED0322,40,2.25,0,2016-07-25,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,,, $90.00 
MED0167,1,146,0,2016-07-25,FURACIN POMADA 85 GR.,,,, $146.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
