FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,06-dic-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,100,1.23,0,06/12/2016,IBUPROFENO 600 MG C/10,,10,$12.30,$123.00
,80,0.85,0,06/12/2016,IBUPROFENO TABS 400 MG IBUPROFENO C/10,,10,$8.50,$68.00
,50,2.1,0,06/12/2016,MELOXICAM 15 MG TABS C/10,,10,$21.00,$105.00
,30,21,0,06/12/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY C/ 5,,5,$105.00,$630.00
,15,30,0,06/12/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO ,,1,$30.00,$450.00
,10,38,0,06/12/2016,CLORURO DE SODIO ADULTO 30ML SOLUCION NASAL C/ 1(NASALUB),,1,$38.00,$380.00
,10,9.5,0,06/12/2016,SUPRADOL KETOROLACO 10MG TABS C/10,,10,$95.00,$95.00
,5,6.541666667,0,06/12/2016,BUSCAPINA GRAGEAS 24 GRAGEAS,,24,$157.00,$32.71
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$1,883.71"
