,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,16-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MAT4051,136,0.91,16,2016-11-22,CONOS PARA OTOSCOPIA MEDIANOS,,,, $123.76 
MAT0573,600,1.3,16,2016-11-22,JERINGA 3ML (22X32),,,, $780.00 
MAT0575,400,1.48,16,2016-11-22,JERINGA 5CC (22X32),,,, $592.00 
MAT1201,12,35.83,16,2016-11-22,PROLENE 5-0 ,,,, $429.96 
MAT0734,1,770,16,2016-11-22,PULSOXIMETRO   ,,,, $770.00 
MAT1124,3,78,16,2016-11-22,SABANA TERMICA,,,, $234.00 
MAT4069,3,120,16,2016-11-22,JABON QUIRURGICO 500 ML,,,, $360.00 
MAT1016,50,2.8,16,2016-11-22,VENDA ELASTICA 5CMX4.5MTS,,,, $140.00 
MAT4547,400,4.44,16,2016-11-22,ELECTRODOS 3M C/50,,,," $1,776.00 "
MAT4569,1,350,16,2016-11-22,EQUIPO DE SUTURA,,,, $350.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
