FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-dic-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,10,22.56,0,05/01/2017,AMOXICILINA/BROMEXINA 500/8MG CAPSULAS C/ 12,,12,,$225.60
,15,25.92,0,05/01/2017,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA C/12,,12,,$388.80
,10,20.1,0,05/01/2017,GLIBENCLAMIDA / METFORMINA 500MG/ 2.5MG TABLETAS C/ 30,,30,,$201.00
,100,21,0,05/01/2017,CEFTRIAXONA 1G/10ML SOL. INY.,,1,,"$2,100.00"
,10,17,0,05/01/2017,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,1,,$170.00
,20,33.9,0,05/01/2017,METOCARBAMOL + PARACETAMOL 400/350MG TAB.C/10,,10,,$678.00
,15,39.96,0,05/01/2017,SENSIBIT D NF TABS/ C/12 PATENTE,,12,,$599.40
,50,9.4,0,05/01/2017,DICLOFENACO 100MG TAB.C/20,,20,,$470.00
,5,90,0,05/01/2017,HISTIACIL NF ORAL AD 150 ML (JARABE),,,,$450.00
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$5,282.80"
,,,,,,,,,$845.25
,,,,,,,,,"$6,128.05"
