,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0260,100,0.85,0,2016-02-29,Nimesulide 100mg,,,,$85.00
MED0266,100,0.678571429,0,2016-02-29,OMEPRAZOL C/14   CAPS. 20mg..,,,,$67.86
MED0276,200,0.45,0,2016-02-29,PARACETAMOL C/10 TAB. 500mg,,,,$90.00
MED0322,200,2.3,0,2016-02-29,SEDALMERCK,,,,$460.00
MED1032,120,3.666666667,0,2016-02-29,KETOROLACO AMP 30MG,,,,$440.00
MED1050,50,0.85,0,2016-02-29,BENZONATATO PERLAS ,,,,$42.50
MED1055,80,21.3,0,2016-02-29,CLORO TRIMETON 10MG C/5 AMP=Clorfenamina,,,,"$1,704.00"
MED1090,150,0.9,0,2016-02-29,LORATADINA TAB.,,,,$135.00
MAT1012,10,5,16,2016-02-29,VENDAS ELASTICAS DE 10 cm,,,,$50.00
MAT1170,10,12,16,2016-02-29,CAMPOS ESTERILES ,,,,$120.00
MED0016,200,0.475,0,2016-02-29,Ambroxol 30 MG C/20 TAB,,,,$95.00
MED0038,100,0.496666667,0,2016-02-29,ASPIRINA ,,,,$49.67
MED0066,30,0.216666667,0,2016-02-29,CAPTOPRIL C/30  TAB. 25mg,,,,$6.50
MED0115,100,6.25,0,2016-02-29,DICLOFENACO AMP 75 MG ,,,,$625.00
MED0120,60,0.316666667,0,2016-02-29,DIFENIDOL C/30 TAB. 25mg,,,,$19.00
MED0216,16,2.666666667,0,2016-02-29,KETOROLACO 30 MG C/4 TAB SUBLINGUAL ,,,,$42.67
MED0238,160,0.35,0,2016-02-29,METOCLOPRAMIDA TABLETAS,,,,$56.00
MAT0517,200,0.82,16,2016-02-29,Guantes Latex Grande NO ESTERIL,,,,$164.00
MAT0668,8,7.25,16,2016-02-29,Pilas AAA ,,,,$58.00
MAT0670,6,20,16,2016-02-29,PILAS 2032 termometro,,,,$120.00
MAT0744,10,3,16,2016-02-29,RASTRILLOS DESECHABLES ,,,,$30.00
MAT1016,24,3.4,16,2016-02-29,VENDA ELASTICA 5 CM,,,,$81.60
MAT1151,50,7.3,16,2016-02-29,EQUIPOS DE VENOCLISIS,,,,$365.00
MAT1164,50,5.4,16,2016-02-29,TIRAS REACTIVAS ACCU CHECK PERFORMA,,,,$270.00
MAT1172,300,1.55,16,2016-02-29,JERINGA 5 ML,,,,$465.00
MAT1173,20,8,16,2016-02-29,Sabana PARA CAMILLA,,,,$160.00
MAT1174,12,26.25,16,2016-02-29,Prolene 3-0,,,,$315.00
MED0168,20,3.1,0,2016-02-29,FUROSEMIDA 20MGX2ML.,,,,$62.00
MED0239,80,2.333333333,0,2016-02-29,METOCLOPRAMIDA 10MGX2ML.,,,,$186.67
MED4410,180,1.916666667,0,2016-02-29,Naproxen Sodico,,,,$345.00
MED4432,50,7.4,0,2016-02-29,Bonadoxina INY,,,,$370.00
MED4446,7,56.71428571,0,2016-02-29,PARCHE DE NITROGLICERINA (NITRODERM TTS) C/7 PARCHES ,,,,$397.00
MED4448,70,2.1,0,2016-02-29,BUTILHIOSINA GRAGEAS 10 MG,,,,$147.00
MED4449,240,1.166666667,0,2016-02-29,"AMANTADINA , CLORFENAMINA, PARACETAMOL, (ROSEL T) C/15 TAB. 50mg/3mg/300 mg",,,,$280.00
MED4463,2,228,0,2016-02-29,CLORURO DE ETILO SPRAY,,,,$456.00
MED4506,2,305,16,2016-02-29,Baumanomtero con esfingomanometro,,,,$610.00
MAT4507,24,26.25,16,2016-02-29,Prolene 2-0,,,,$630.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
